month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,credit_score_band,n_loans,follow_up_months
15.0,860.0,21.0,6.0,27.0,16.0,0.0069767441860465115,0.6688240400365774,0.07098631446904144,0.07987258580017187,prepaid,620-659,1512,55
16.0,817.0,22.0,0.0,22.0,11.0,0.0,0.6508140903660697,0.07098631446904144,0.07987258580017187,prepaid,620-659,1512,55
17.0,784.0,25.0,5.0,30.0,12.0,0.006377551020408163,0.6259104899694089,0.07513691453515157,0.08574074532950748,prepaid,620-659,1512,55
18.0,742.0,19.0,5.0,24.0,8.0,0.006738544474393531,0.605665406735897,0.07935464020879988,0.09190152197823043,prepaid,620-659,1512,55
19.0,710.0,22.0,4.0,26.0,14.0,0.005633802816901409,0.5834861101512022,0.08276683968336832,0.09701756974173337,prepaid,620-659,1512,55
20.0,670.0,15.0,4.0,19.0,12.0,0.005970149253731343,0.5669394891170636,0.08625033884845013,0.10240850962387227,prepaid,620-659,1512,55
21.0,639.0,17.0,5.0,22.0,16.0,0.00782472613458529,0.5474204456732836,0.09068648508567284,0.10943191721679968,prepaid,620-659,1512,55
22.0,601.0,16.0,3.0,19.0,12.0,0.004991680532445923,0.530114308455659,0.09341903306740304,0.11387734857844622,prepaid,620-659,1512,55
23.0,570.0,17.0,6.0,23.0,13.0,0.010526315789473684,0.5087237310969218,0.09899918368272577,0.12320495543551524,prepaid,620-659,1512,55
24.0,534.0,24.0,1.0,25.0,12.0,0.0018726591760299626,0.48490707701935054,0.09995184984582862,0.12484689372121649,prepaid,620-659,1512,55
25.0,497.0,20.0,2.0,22.0,11.0,0.004024144869215292,0.46344237743298095,0.10190318617186223,0.12836863660362607,prepaid,620-659,1512,55
26.0,464.0,17.0,4.0,21.0,10.0,0.008620689655172414,0.4424676146612297,0.10589837908076724,0.13588270008118097,prepaid,620-659,1512,55
27.0,433.0,8.0,2.0,10.0,12.0,0.004618937644341801,0.43224896305242533,0.10794210940252812,0.13987400400690309,prepaid,620-659,1512,55
28.0,411.0,5.0,2.0,7.0,7.0,0.004866180048661801,0.4248870585722137,0.11004551068258858,0.14405953196794008,prepaid,620-659,1512,55
29.0,397.0,11.0,1.0,12.0,7.0,0.0025188916876574307,0.41204412481184455,0.11111575516261935,0.14621555329799563,prepaid,620-659,1512,55
30.0,378.0,10.0,3.0,13.0,15.0,0.007936507936507936,0.3978732951225483,0.11438594662938002,0.1529916203353131,prepaid,620-659,1512,55
31.0,350.0,15.0,5.0,20.0,7.0,0.014285714285714285,0.3751376782584027,0.12006985084541642,0.16509174004480864,prepaid,620-659,1512,55
32.0,323.0,13.0,0.0,13.0,4.0,0.0,0.3600392577712224,0.12006985084541642,0.16509174004480864,prepaid,620-659,1512,55
33.0,306.0,10.0,1.0,11.0,7.0,0.0032679738562091504,0.3470966700735641,0.12124644972702173,0.1678201984106753,prepaid,620-659,1512,55
34.0,288.0,7.0,2.0,9.0,8.0,0.006944444444444444,0.33624989913376524,0.12365684326919925,0.1735992248106012,prepaid,620-659,1512,55
35.0,271.0,8.0,2.0,10.0,6.0,0.007380073800738007,0.32384215377827574,0.12613839234029714,0.17969812352048609,prepaid,620-659,1512,55
36.0,255.0,7.0,2.0,9.0,6.0,0.00784313725490196,0.31241243070374836,0.12867833080130323,0.18613186372816848,prepaid,620-659,1512,55
37.0,240.0,12.0,1.0,13.0,4.0,0.004166666666666667,0.2954900907072953,0.12998004926256884,0.18952298096263442,prepaid,620-659,1512,55
38.0,223.0,5.0,1.0,6.0,9.0,0.004484304932735426,0.28753968467929636,0.131305116933902,0.19315740705697237,prepaid,620-659,1512,55
39.0,208.0,6.0,0.0,6.0,9.0,0.0,0.2792452706981628,0.131305116933902,0.19315740705697237,prepaid,620-659,1512,55
40.0,193.0,2.0,1.0,3.0,4.0,0.0051813471502590676,0.27490467063549706,0.13275198362145726,0.1973379386266254,prepaid,620-659,1512,55
41.0,186.0,4.0,1.0,5.0,9.0,0.005376344086021506,0.26751476013454284,0.1342299657216481,0.20165332605336395,prepaid,620-659,1512,55
42.0,172.0,10.0,2.0,12.0,4.0,0.011627906976744186,0.24885093966003985,0.1373406024673986,0.21093642691320857,prepaid,620-659,1512,55
43.0,156.0,4.0,0.0,4.0,5.0,0.0,0.24247014633542344,0.1373406024673986,0.21093642691320857,prepaid,620-659,1512,55
44.0,147.0,4.0,0.0,4.0,5.0,0.0,0.23587231922425544,0.1373406024673986,0.21093642691320857,prepaid,620-659,1512,55
45.0,138.0,6.0,0.0,6.0,7.0,0.0,0.2256170009971139,0.1373406024673986,0.21093642691320857,prepaid,620-659,1512,55
46.0,125.0,4.0,4.0,8.0,12.0,0.032,0.2111775129332986,0.14456034649930624,0.23618646125198595,prepaid,620-659,1512,55
47.0,105.0,1.0,0.0,1.0,3.0,0.0,0.20916629852441004,0.14456034649930624,0.23618646125198595,prepaid,620-659,1512,55
48.0,101.0,2.0,1.0,3.0,3.0,0.009900990099009901,0.20295343817219985,0.14663129995004298,0.24374897153661979,prepaid,620-659,1512,55
49.0,95.0,5.0,0.0,5.0,2.0,0.0,0.19227167826839986,0.14663129995004298,0.24374897153661979,prepaid,620-659,1512,55
50.0,88.0,2.0,0.0,2.0,6.0,0.0,0.1879018673986635,0.14663129995004298,0.24374897153661979,prepaid,620-659,1512,55
51.0,80.0,3.0,1.0,4.0,5.0,0.0125,0.1785067740287303,0.14898007329252627,0.25320210939241206,prepaid,620-659,1512,55
52.0,71.0,1.0,0.0,1.0,5.0,0.0,0.1759925941128327,0.14898007329252627,0.25320210939241206,prepaid,620-659,1512,55
53.0,65.0,3.0,0.0,3.0,2.0,0.0,0.1678698589999327,0.14898007329252627,0.25320210939241206,prepaid,620-659,1512,55
54.0,60.0,2.0,0.0,2.0,4.0,0.0,0.16227419703326829,0.14898007329252627,0.25320210939241206,prepaid,620-659,1512,55
55.0,54.0,1.0,0.0,1.0,5.0,0.0,0.15926911931043,0.14898007329252627,0.25320210939241206,prepaid,620-659,1512,55
1.0,2864.0,0.0,21.0,21.0,34.0,0.007332402234636872,0.9926675977653632,0.007332402234636872,0.007332402234636826,prepaid,660-699,2864,59
2.0,2809.0,0.0,20.0,20.0,43.0,0.00711997152011392,0.9855998327403339,0.014400167259666159,0.014400167259666086,prepaid,660-699,2864,59
3.0,2746.0,0.0,21.0,21.0,39.0,0.00764748725418791,0.9780624705817225,0.021937529418277597,0.021937529418277535,prepaid,660-699,2864,59
4.0,2686.0,10.0,18.0,28.0,38.0,0.006701414743112435,0.9678667337327693,0.028491931678318923,0.02849193167831887,prepaid,660-699,2864,59
5.0,2620.0,26.0,20.0,46.0,34.0,0.007633587786259542,0.9508736536748658,0.03588022735566831,0.035908023802911915,prepaid,660-699,2864,59
6.0,2540.0,21.0,16.0,37.0,30.0,0.006299212598425197,0.9370223445465311,0.04186998265440762,0.04198104412541326,prepaid,660-699,2864,59
7.0,2473.0,22.0,18.0,40.0,34.0,0.007278608976951072,0.9218663017718197,0.04869020190302774,0.04895408949773139,prepaid,660-699,2864,59
8.0,2399.0,28.0,19.0,47.0,31.0,0.007919966652771988,0.9038055613869612,0.05599135227137479,0.05648634139416453,prepaid,660-699,2864,59
9.0,2321.0,26.0,16.0,42.0,24.0,0.006893580353295993,0.8874506137013721,0.062221808532551603,0.06299052861419618,prepaid,660-699,2864,59
10.0,2255.0,25.0,19.0,44.0,20.0,0.008425720620842573,0.8701345041657356,0.06969921946839465,0.07088550863917631,prepaid,660-699,2864,59
11.0,2191.0,18.0,16.0,34.0,32.0,0.00730260155180283,0.8566317323073901,0.07605346504879254,0.07767046156559032,prepaid,660-699,2864,59
12.0,2125.0,17.0,13.0,30.0,33.0,0.00611764705882353,0.8445381078512857,0.08129403564643775,0.08331294815365964,prepaid,660-699,2864,59
13.0,2062.0,20.0,8.0,28.0,28.0,0.0038797284190106693,0.8330700831083973,0.08457061414440588,0.086869444960047,prepaid,660-699,2864,59
14.0,2006.0,16.0,16.0,32.0,35.0,0.007976071784646061,0.81978082953937,0.09121524092891951,0.09415263981579935,prepaid,660-699,2864,59
15.0,1939.0,17.0,19.0,36.0,27.0,0.009798865394533264,0.8045605562730382,0.09924816293059462,0.10302891616623755,prepaid,660-699,2864,59
16.0,1876.0,16.0,11.0,27.0,31.0,0.005863539445628998,0.7929810599940553,0.10396573548869878,0.10828834149788547,prepaid,660-699,2864,59
17.0,1818.0,23.0,18.0,41.0,36.0,0.009900990099009901,0.775097548740064,0.11181703311240229,0.11711716979988662,prepaid,660-699,2864,59
18.0,1741.0,16.0,11.0,27.0,34.0,0.006318207926479035,0.7630770812983743,0.11671426058864623,0.12269540709580928,prepaid,660-699,2864,59
19.0,1680.0,20.0,14.0,34.0,36.0,0.008333333333333333,0.74763385465305,0.12307323626613267,0.13000627870334414,prepaid,660-699,2864,59
20.0,1610.0,15.0,11.0,26.0,31.0,0.0068322981366459624,0.7355602644536839,0.12818129365817216,0.13595033518425303,prepaid,660-699,2864,59
21.0,1553.0,18.0,11.0,29.0,27.0,0.0070830650354153256,0.7218247540421213,0.1333913148487649,0.14207045515397176,prepaid,660-699,2864,59
22.0,1497.0,10.0,10.0,20.0,33.0,0.006680026720106881,0.7121811367536495,0.13821312349300086,0.14780144743751245,prepaid,660-699,2864,59
23.0,1444.0,16.0,8.0,24.0,28.0,0.00554016620498615,0.700344331156636,0.14215872535867205,0.15252276905835715,prepaid,660-699,2864,59
24.0,1392.0,10.0,10.0,20.0,35.0,0.007183908045977011,0.6902819126055348,0.14718993463422259,0.15861096755650117,prepaid,660-699,2864,59
25.0,1337.0,12.0,8.0,20.0,21.0,0.005983545250560957,0.6799560799562374,0.15132026769394158,0.16364545690545262,prepaid,660-699,2864,59
26.0,1296.0,15.0,6.0,21.0,26.0,0.004629629629629629,0.6689382731050947,0.15446821250855378,0.1675174686790385,prepaid,660-699,2864,59
27.0,1249.0,10.0,6.0,16.0,35.0,0.004803843074459567,0.6603690077971031,0.15768168699905064,0.17151658412173332,prepaid,660-699,2864,59
28.0,1198.0,9.0,5.0,14.0,25.0,0.004173622704507512,0.6526518407610769,0.16043781808334573,0.17497436131655075,prepaid,660-699,2864,59
29.0,1159.0,8.0,10.0,18.0,23.0,0.008628127696289905,0.6425157465991274,0.16606898150665098,0.18209278787982475,prepaid,660-699,2864,59
30.0,1118.0,8.0,10.0,18.0,17.0,0.008944543828264758,0.6321711281386763,0.17181599176245713,0.1894085947860874,prepaid,660-699,2864,59
31.0,1083.0,10.0,7.0,17.0,24.0,0.006463527239150508,0.6222478509656777,0.17590204706898596,0.19464787441350884,prepaid,660-699,2864,59
32.0,1042.0,11.0,4.0,15.0,21.0,0.003838771593090211,0.613290348312621,0.17829071444313443,0.19773943727564502,prepaid,660-699,2864,59
33.0,1006.0,7.0,14.0,21.0,28.0,0.013916500994035786,0.6004880646997333,0.18682557018505958,0.20890409719427416,prepaid,660-699,2864,59
34.0,957.0,8.0,5.0,13.0,29.0,0.00522466039707419,0.592330964552297,0.189962916395612,0.2130373046279509,prepaid,660-699,2864,59
35.0,915.0,6.0,6.0,12.0,16.0,0.006557377049180328,0.5845626896073488,0.19384705386808607,0.21819771574514468,prepaid,660-699,2864,59
36.0,887.0,12.0,2.0,14.0,27.0,0.002254791431792559,0.575336221000243,0.19516512081195833,0.21996051683703832,prepaid,660-699,2864,59
37.0,846.0,4.0,6.0,10.0,22.0,0.0070921985815602835,0.5685355564494127,0.1992455195424565,0.22549271175308772,prepaid,660-699,2864,59
38.0,814.0,2.0,7.0,9.0,28.0,0.0085995085995086,0.5622495367835101,0.20413464594926964,0.23215309383874916,prepaid,660-699,2864,59
39.0,777.0,4.0,6.0,10.0,24.0,0.007722007722007722,0.5550133780089476,0.20847634121400715,0.23808241357744608,prepaid,660-699,2864,59
40.0,743.0,7.0,4.0,11.0,22.0,0.005383580080753701,0.5467964908513454,0.21146430018040796,0.24218425791888643,prepaid,660-699,2864,59
41.0,710.0,4.0,2.0,6.0,25.0,0.0028169014084507044,0.5421756754357002,0.21300457198562303,0.24431895015010086,prepaid,660-699,2864,59
42.0,679.0,5.0,9.0,14.0,23.0,0.013254786450662739,0.5309967955298095,0.22019099478226706,0.2543353410906739,prepaid,660-699,2864,59
43.0,642.0,7.0,4.0,11.0,18.0,0.006230529595015576,0.5218987195939405,0.22349938603167396,0.2589812268159657,prepaid,660-699,2864,59
44.0,613.0,5.0,6.0,11.0,24.0,0.009787928221859706,0.5125334897154196,0.22860769323813995,0.26623426537894157,prepaid,660-699,2864,59
45.0,578.0,7.0,3.0,10.0,18.0,0.005190311418685121,0.5036661283016579,0.23126790166226843,0.27004273804998513,prepaid,660-699,2864,59
46.0,550.0,5.0,4.0,9.0,20.0,0.007272727272727273,0.495424318929449,0.23493092804991686,0.2753515181368944,prepaid,660-699,2864,59
47.0,521.0,10.0,2.0,12.0,19.0,0.003838771593090211,0.4840133941172544,0.2368327488519493,0.2781332781440464,prepaid,660-699,2864,59
48.0,490.0,6.0,2.0,8.0,30.0,0.004081632653061225,0.47611113462146254,0.23880831372589728,0.281079672927132,prepaid,660-699,2864,59
49.0,452.0,4.0,7.0,11.0,17.0,0.015486725663716814,0.4645243592213827,0.24618171625322083,0.29221339480657904,prepaid,660-699,2864,59
50.0,424.0,2.0,3.0,5.0,19.0,0.007075471698113208,0.4590464776267909,0.24946844520997588,0.29722131889992864,prepaid,660-699,2864,59
51.0,400.0,5.0,1.0,6.0,17.0,0.0025,0.45216078046238906,0.25061606140404286,0.2989782656026788,prepaid,660-699,2864,59
52.0,377.0,2.0,4.0,6.0,20.0,0.010610079575596816,0.4449645876698842,0.25541352326571276,0.30641616198885724,prepaid,660-699,2864,59
53.0,351.0,5.0,2.0,7.0,25.0,0.005698005698005698,0.43609065002404607,0.2579489340216665,0.3103682066498894,prepaid,660-699,2864,59
54.0,319.0,7.0,0.0,7.0,19.0,0.0,0.4265212627194432,0.2579489340216665,0.3103682066498894,prepaid,660-699,2864,59
55.0,293.0,1.0,2.0,3.0,22.0,0.006825938566552901,0.42215415081446594,0.26086034195831803,0.31507559090483894,prepaid,660-699,2864,59
56.0,268.0,1.0,3.0,4.0,14.0,0.011194029850746268,0.4158533425933545,0.2655859481241516,0.32274265518575496,prepaid,660-699,2864,59
57.0,250.0,1.0,2.0,3.0,9.0,0.008,0.41086310248223423,0.26891277486489845,0.32816071394426893,prepaid,660-699,2864,59
58.0,238.0,2.0,2.0,4.0,13.0,0.008403361344537815,0.403957840255642,0.27236540597819453,0.33380642223045154,prepaid,660-699,2864,59
59.0,221.0,2.0,1.0,3.0,218.0,0.004524886877828055,0.3984742496639365,0.27419326950876305,0.3368208728085943,prepaid,660-699,2864,59
1.0,2806.0,0.0,26.0,26.0,30.0,0.009265858873841768,0.9907341411261582,0.009265858873841768,0.009265858873841792,prepaid,700-739,2806,59
2.0,2750.0,0.0,17.0,17.0,32.0,0.0061818181818181816,0.9846096027991965,0.015390397200803473,0.015390397200803485,prepaid,700-739,2806,59
3.0,2701.0,0.0,25.0,25.0,33.0,0.009255831173639394,0.975496222543743,0.024503777456256978,0.02450377745625698,prepaid,700-739,2806,59
4.0,2643.0,3.0,17.0,20.0,34.0,0.006432084752175558,0.9681144879804154,0.03077825183508544,0.030778251835085535,prepaid,700-739,2806,59
5.0,2589.0,4.0,29.0,33.0,43.0,0.011201235998455001,0.9557746741127624,0.0416223306884775,0.041634733371115895,prepaid,700-739,2806,59
6.0,2513.0,8.0,17.0,25.0,44.0,0.006764822920811779,0.9462663705501603,0.048087977111046926,0.04811790469331689,prepaid,700-739,2806,59
7.0,2444.0,6.0,19.0,25.0,35.0,0.007774140752864157,0.936586886399688,0.055444385065405784,0.05551797008236237,prepaid,700-739,2806,59
8.0,2384.0,10.0,13.0,23.0,36.0,0.005453020134228188,0.9275510229822413,0.06055161221439737,0.060668249607919944,prepaid,700-739,2806,59
9.0,2325.0,5.0,22.0,27.0,33.0,0.00946236559139785,0.9167794627153508,0.06932843909853041,0.06955655004173755,prepaid,700-739,2806,59
10.0,2265.0,4.0,18.0,22.0,37.0,0.007947019867549669,0.9078747615322437,0.07661410370289082,0.0769508026241873,prepaid,700-739,2806,59
11.0,2206.0,7.0,25.0,32.0,32.0,0.011332728921124207,0.8947052273667715,0.08690280226966601,0.08741146895890872,prepaid,700-739,2806,59
12.0,2142.0,5.0,15.0,20.0,33.0,0.0070028011204481795,0.886351303675205,0.09316824503834088,0.09380214494659145,prepaid,700-739,2806,59
13.0,2089.0,2.0,16.0,18.0,35.0,0.007659167065581618,0.8787140018723549,0.09995695775198535,0.10074286571291724,prepaid,700-739,2806,59
14.0,2036.0,2.0,12.0,14.0,37.0,0.005893909626719057,0.8726717641384586,0.10513601866675365,0.10604300599358774,prepaid,700-739,2806,59
15.0,1985.0,2.0,12.0,14.0,28.0,0.006045340050377834,0.8665169003107818,0.11041161623333376,0.11144728001277004,prepaid,700-739,2806,59
16.0,1943.0,4.0,17.0,21.0,35.0,0.008749356664951106,0.8571515606779838,0.11799308165036067,0.1192215446755508,prepaid,700-739,2806,59
17.0,1887.0,2.0,10.0,12.0,38.0,0.005299417064122946,0.851700676349348,0.1225354852575572,0.12388915705140902,prepaid,700-739,2806,59
18.0,1837.0,3.0,11.0,14.0,28.0,0.005988023952095809,0.8452097621038984,0.1276354893075533,0.12913532976367603,prepaid,700-739,2806,59
19.0,1795.0,4.0,12.0,16.0,34.0,0.006685236768802228,0.8376758589319416,0.13328591668652087,0.1349572662777908,prepaid,700-739,2806,59
20.0,1745.0,5.0,10.0,15.0,31.0,0.0057306590257879654,0.8304752068494321,0.1380863514081939,0.13991453122748831,prepaid,700-739,2806,59
21.0,1699.0,3.0,17.0,20.0,34.0,0.010005885815185403,0.8206991596822817,0.1463959915002718,0.1485204482193262,prepaid,700-739,2806,59
22.0,1645.0,3.0,12.0,15.0,33.0,0.00729483282674772,0.8132155807186134,0.15238285467120638,0.1547318492049603,prepaid,700-739,2806,59
23.0,1597.0,4.0,10.0,14.0,36.0,0.006261740763932373,0.8060865775063025,0.15747499982285706,0.1600246992412473,prepaid,700-739,2806,59
24.0,1547.0,5.0,13.0,18.0,36.0,0.008403361344537815,0.7967074188798556,0.16424883660862433,0.16708331521400988,prepaid,700-739,2806,59
25.0,1493.0,2.0,12.0,14.0,32.0,0.008037508372404554,0.7892366192386514,0.17065237915822798,0.1737778900414927,prepaid,700-739,2806,59
26.0,1447.0,3.0,7.0,10.0,23.0,0.0048375950241879755,0.7837823233213145,0.17447038630036382,0.17777481800950212,prepaid,700-739,2806,59
27.0,1414.0,2.0,7.0,9.0,33.0,0.0049504950495049506,0.7787936098065394,0.17835049681185547,0.18184523970252442,prepaid,700-739,2806,59
28.0,1372.0,4.0,9.0,13.0,24.0,0.006559766763848397,0.7714143700634746,0.18345920124936194,0.1872121441068082,prepaid,700-739,2806,59
29.0,1335.0,6.0,18.0,24.0,29.0,0.01348314606741573,0.7575462465567155,0.19386029387943127,0.1981710814896378,prepaid,700-739,2806,59
30.0,1282.0,2.0,6.0,8.0,45.0,0.0046801872074883,0.7528189688870949,0.1974057521316468,0.20192379093664414,prepaid,700-739,2806,59
31.0,1229.0,7.0,5.0,12.0,35.0,0.0040683482506102524,0.7454684175228596,0.20046848186674482,0.20517064288564069,prepaid,700-739,2806,59
32.0,1182.0,3.0,7.0,10.0,29.0,0.005922165820642978,0.739161578119113,0.2048832694493675,0.20987775413758702,prepaid,700-739,2806,59
33.0,1143.0,1.0,14.0,15.0,33.0,0.012248468941382326,0.7294612949416968,0.2139368670816226,0.21955554192592808,prepaid,700-739,2806,59
34.0,1095.0,0.0,2.0,2.0,25.0,0.0018264840182648401,0.728128945544543,0.2152692164787764,0.22098101125574365,prepaid,700-739,2806,59
35.0,1068.0,5.0,13.0,18.0,23.0,0.012172284644194757,0.7158571093836799,0.22413220926162195,0.23046345212997144,prepaid,700-739,2806,59
36.0,1027.0,4.0,6.0,10.0,28.0,0.005842259006815969,0.7088867383088631,0.228314431906512,0.23495928395783916,prepaid,700-739,2806,59
37.0,989.0,1.0,7.0,8.0,19.0,0.007077856420626896,0.7031525685348783,0.23333183045874864,0.24037413230191917,prepaid,700-739,2806,59
38.0,962.0,0.0,8.0,8.0,20.0,0.008316008316008316,0.6973051459275196,0.2391792530661073,0.24669118733475148,prepaid,700-739,2806,59
39.0,934.0,0.0,7.0,7.0,32.0,0.007494646680942184,0.69207909022999,0.2444053087636369,0.25233697072731753,prepaid,700-739,2806,59
40.0,895.0,2.0,7.0,9.0,25.0,0.00782122905027933,0.6851196356913644,0.24981821784923458,0.25818461453168495,prepaid,700-739,2806,59
41.0,861.0,1.0,8.0,9.0,22.0,0.009291521486643438,0.6779581063984232,0.2561840216651822,0.26507720812488655,prepaid,700-739,2806,59
42.0,830.0,3.0,6.0,9.0,24.0,0.007228915662650603,0.6706067534374764,0.2610849236391467,0.2703899030059115,prepaid,700-739,2806,59
43.0,797.0,0.0,4.0,4.0,33.0,0.005018820577164366,0.667241098464139,0.2644505786124841,0.27405168517401235,prepaid,700-739,2806,59
44.0,760.0,2.0,7.0,9.0,33.0,0.009210526315789473,0.6593395591402216,0.2705962203088643,0.2807380512316201,prepaid,700-739,2806,59
45.0,718.0,3.0,2.0,5.0,23.0,0.002785515320334262,0.6547480580320028,0.27243282075215186,0.28274156640924786,prepaid,700-739,2806,59
46.0,690.0,3.0,5.0,8.0,28.0,0.007246376811594203,0.6471567761997477,0.2771773718973113,0.28793909129034023,prepaid,700-739,2806,59
47.0,654.0,2.0,6.0,8.0,31.0,0.009174311926605505,0.6392404853593838,0.2831145900275842,0.2944717601775848,prepaid,700-739,2806,59
48.0,615.0,1.0,5.0,6.0,25.0,0.008130081300813009,0.6330039928192923,0.28831166714432716,0.30020776212736056,prepaid,700-739,2806,59
49.0,584.0,1.0,7.0,8.0,29.0,0.011986301369863013,0.6243327052464253,0.2958990437705858,0.30859568278679284,prepaid,700-739,2806,59
50.0,547.0,1.0,9.0,10.0,26.0,0.016453382084095063,0.6129189446386296,0.3061714283176019,0.31997162219249464,prepaid,700-739,2806,59
51.0,511.0,1.0,6.0,7.0,24.0,0.011741682974559686,0.604522794712073,0.3133681282546504,0.32795629981841445,prepaid,700-739,2806,59
52.0,480.0,2.0,4.0,6.0,20.0,0.008333333333333333,0.5969662597781722,0.31840581821058433,0.33355666398659434,prepaid,700-739,2806,59
53.0,454.0,3.0,5.0,8.0,23.0,0.011013215859030838,0.5864470305309797,0.3249803364900796,0.34089634830392257,prepaid,700-739,2806,59
54.0,423.0,1.0,4.0,5.0,28.0,0.009456264775413711,0.5795150325341596,0.3305259348875357,0.3471290069488028,prepaid,700-739,2806,59
55.0,390.0,3.0,5.0,8.0,22.0,0.01282051282051282,0.567627544687305,0.3379556147918198,0.3554991478853565,prepaid,700-739,2806,59
56.0,360.0,1.0,4.0,5.0,23.0,0.011111111111111112,0.5597438287888703,0.34426258751056765,0.36266026846440813,prepaid,700-739,2806,59
57.0,332.0,0.0,2.0,2.0,20.0,0.006024096385542169,0.5563718780130338,0.3476345382864042,0.36649966443751403,prepaid,700-739,2806,59
58.0,310.0,2.0,2.0,4.0,23.0,0.0064516129032258064,0.549192886038672,0.35122403427358506,0.3705867633766269,prepaid,700-739,2806,59
59.0,283.0,1.0,5.0,6.0,277.0,0.0176678445229682,0.5375492206102902,0.3609270887972365,0.3817071385819868,prepaid,700-739,2806,59
1.0,1930.0,0.0,16.0,16.0,23.0,0.008290155440414507,0.9917098445595854,0.008290155440414507,0.00829015544041456,prepaid,740-799,1930,59
2.0,1891.0,0.0,9.0,9.0,22.0,0.004759386567953464,0.9869899140460813,0.013010085953918615,0.013010085953918726,prepaid,740-799,1930,59
3.0,1860.0,0.0,28.0,28.0,28.0,0.015053763440860216,0.9721320013615167,0.027867998638483278,0.027867998638483327,prepaid,740-799,1930,59
4.0,1804.0,0.0,12.0,12.0,22.0,0.0066518847006651885,0.965665491374633,0.03433450862536698,0.03433450862536702,prepaid,740-799,1930,59
5.0,1770.0,0.0,22.0,22.0,19.0,0.012429378531073447,0.9536628694479427,0.046337130552057335,0.04633713055205735,prepaid,740-799,1930,59
6.0,1729.0,1.0,14.0,15.0,26.0,0.008097165991902834,0.9453893338541202,0.054059097106291684,0.05405909710629164,prepaid,740-799,1930,59
7.0,1688.0,0.0,13.0,13.0,24.0,0.007701421800947867,0.9381084918279924,0.061339939132419384,0.06134418699824562,prepaid,740-799,1930,59
8.0,1651.0,0.0,10.0,10.0,25.0,0.0060569351907934586,0.9324264294910573,0.06702200146935453,0.06702956442405872,prepaid,740-799,1930,59
9.0,1616.0,2.0,14.0,16.0,36.0,0.008663366336633664,0.9231944846446112,0.07509995320999488,0.07511222908870174,prepaid,740-799,1930,59
10.0,1564.0,1.0,16.0,17.0,22.0,0.010230179028132993,0.9131597619854306,0.08454439806569422,0.08457399656605513,prepaid,740-799,1930,59
11.0,1525.0,0.0,19.0,19.0,26.0,0.012459016393442624,0.9017826895410219,0.09592147051010286,0.09597930414982225,prepaid,740-799,1930,59
12.0,1480.0,0.0,15.0,15.0,25.0,0.010135135135135136,0.8926430001199981,0.10506115993112673,0.10514167606722269,prepaid,740-799,1930,59
13.0,1440.0,0.0,12.0,12.0,18.0,0.008333333333333333,0.8852043084523314,0.11249985159879339,0.1125988287666625,prepaid,740-799,1930,59
14.0,1410.0,0.0,13.0,13.0,21.0,0.009219858156028368,0.8770428502892958,0.12066130976182907,0.12078054169292729,prepaid,740-799,1930,59
