month,at_risk,events_default,events_prepaid,events_any,censored,cause_hazard,overall_survival,cif,naive_1_minus_km,cause,vintage_year,n_loans,follow_up_months
14.0,1388.0,11.0,6.0,17.0,0.0,0.00792507204610951,0.8268998793727382,0.0735826296743064,0.07870587828780984,default,2021,1658,39
15.0,1371.0,13.0,15.0,28.0,0.0,0.009482129832239242,0.8100120627261761,0.08142340168878168,0.08744170876356372,default,2021,1658,39
16.0,1343.0,8.0,8.0,16.0,0.0,0.005956813104988831,0.8003618817852834,0.086248492159228,0.09287764795186715,default,2021,1658,39
17.0,1327.0,10.0,9.0,19.0,0.0,0.007535795026375283,0.7889022919179735,0.09227985524728591,0.09971353606074529,default,2021,1658,39
18.0,1308.0,8.0,6.0,14.0,0.0,0.0061162079510703364,0.7804583835946923,0.09710494571773223,0.10521987528973153,default,2021,1658,39
19.0,1294.0,11.0,9.0,20.0,0.0,0.008500772797527048,0.7683956574185765,0.10373944511459593,0.11282619783363645,default,2021,1658,39
20.0,1274.0,6.0,13.0,19.0,0.0,0.004709576138147566,0.7569360675512665,0.10735826296743067,0.11700441040270881,default,2021,1658,39
21.0,1255.0,13.0,9.0,22.0,0.0,0.010358565737051793,0.7436670687575391,0.11519903498190595,0.12615097826307908,default,2021,1658,39
22.0,1233.0,7.0,10.0,17.0,0.0,0.0056772100567721,0.7334137515078407,0.11942098914354649,0.13111200271738443,default,2021,1658,39
23.0,1216.0,9.0,6.0,15.0,0.0,0.007401315789473684,0.7243667068757539,0.1248492159227986,0.13754291717095646,default,2021,1658,39
24.0,1201.0,4.0,17.0,21.0,102.0,0.0033305578684429643,0.7117008443908323,0.12726176115802176,0.14041538039436707,default,2021,1658,39
25.0,1078.0,7.0,4.0,11.0,76.0,0.006493506493506494,0.7044385908766401,0.1318831952125077,0.14599709870349453,default,2021,1658,39
26.0,991.0,10.0,7.0,17.0,78.0,0.010090817356205853,0.6923543769060014,0.13899155637170688,0.15461468600214745,default,2021,1658,39
27.0,896.0,8.0,8.0,16.0,89.0,0.008928571428571428,0.6799909058898228,0.14517329187979616,0.16216276916284256,default,2021,1658,39
28.0,791.0,3.0,5.0,8.0,87.0,0.0037926675094816687,0.6731136274484593,0.1477522712953075,0.1653404072064728,default,2021,1658,39
29.0,696.0,1.0,6.0,7.0,77.0,0.0014367816091954023,0.6663438064827419,0.14871938857612424,0.1665396307593371,default,2021,1658,39
30.0,612.0,4.0,3.0,7.0,93.0,0.006535947712418301,0.6587222269968283,0.15307457685378922,0.17198708415306685,default,2021,1658,39
31.0,512.0,7.0,5.0,12.0,94.0,0.013671875,0.6432834248015901,0.16208054480101147,0.1833075732369116,default,2021,1658,39
32.0,406.0,5.0,2.0,7.0,69.0,0.012315270935960592,0.6321923312705281,0.17000275446605567,0.19336536174384622,default,2021,1658,39
33.0,330.0,2.0,4.0,6.0,98.0,0.006060606060606061,0.6206979252474276,0.17383422314042252,0.19825405652115624,default,2021,1658,39
34.0,226.0,2.0,0.0,2.0,86.0,0.008849557522123894,0.6152050232540875,0.1793271251337626,0.20534915336610182,default,2021,1658,39
