period,column,psi_vs_first_period,drift_band
2018-09,remaining_term_months,12.8769,MAJOR shift
2018-09,original_balance,11.973,MAJOR shift
2018-09,current_balance,19.4577,MAJOR shift
2018-09,interest_rate,12.58,MAJOR shift
2018-09,vintage_year,0.1267,moderate shift
2018-09,days_past_due,0.5108,MAJOR shift
2018-09,prepayment_flag,0.1103,moderate shift
2018-09,default_flag,0.0398,stable
2018-09,next_3m_delinquency_flag,1.448,MAJOR shift
2018-09,next_6m_delinquency_flag,0.9188,MAJOR shift
2018-09,next_12m_default_flag,1.071,MAJOR shift
2018-09,next_12m_prepayment_flag,0.403,MAJOR shift
2018-09,credit_score,12.1941,MAJOR shift
2018-09,ltv,12.8937,MAJOR shift
2018-09,dti,15.1764,MAJOR shift
2018-09,original_term_months,1.0757,MAJOR shift
2018-10,month_index,15.4761,MAJOR shift
2018-10,loan_age_months,15.4761,MAJOR shift
2018-10,remaining_term_months,15.1547,MAJOR shift
2018-10,original_balance,12.022,MAJOR shift
2018-10,current_balance,19.342,MAJOR shift
2018-10,interest_rate,12.6068,MAJOR shift
2018-10,vintage_year,0.1439,moderate shift
2018-10,days_past_due,0.4557,MAJOR shift
2018-10,prepayment_flag,0.0357,stable
2018-10,default_flag,0.0702,stable
2018-10,next_3m_delinquency_flag,1.4779,MAJOR shift
2018-10,next_6m_delinquency_flag,0.9782,MAJOR shift
2018-10,next_12m_default_flag,1.0958,MAJOR shift
2018-10,next_12m_prepayment_flag,0.4085,MAJOR shift
2018-10,credit_score,12.1352,MAJOR shift
2018-10,ltv,12.9307,MAJOR shift
2018-10,dti,12.9812,MAJOR shift
2018-10,original_term_months,1.0403,MAJOR shift
2018-11,month_index,15.5118,MAJOR shift
2018-11,loan_age_months,15.5118,MAJOR shift
2018-11,remaining_term_months,15.257,MAJOR shift
2018-11,original_balance,11.908,MAJOR shift
2018-11,current_balance,19.2406,MAJOR shift
2018-11,interest_rate,12.63,MAJOR shift
2018-11,vintage_year,0.1668,moderate shift
2018-11,days_past_due,0.4841,MAJOR shift
2018-11,prepayment_flag,0.0514,stable
2018-11,default_flag,0.0451,stable
2018-11,next_3m_delinquency_flag,1.4048,MAJOR shift
2018-11,next_6m_delinquency_flag,0.961,MAJOR shift
2018-11,next_12m_default_flag,1.0466,MAJOR shift
2018-11,next_12m_prepayment_flag,0.4085,MAJOR shift
2018-11,credit_score,12.094,MAJOR shift
2018-11,ltv,12.9442,MAJOR shift
2018-11,dti,13.008,MAJOR shift
2018-11,original_term_months,1.0353,MAJOR shift
2018-12,month_index,15.906,MAJOR shift
2018-12,loan_age_months,15.906,MAJOR shift
2018-12,remaining_term_months,15.6742,MAJOR shift
2018-12,original_balance,11.954,MAJOR shift
2018-12,current_balance,19.1692,MAJOR shift
2018-12,interest_rate,12.6775,MAJOR shift
2018-12,vintage_year,0.1141,moderate shift
2018-12,days_past_due,0.5386,MAJOR shift
2018-12,prepayment_flag,0.0528,stable
2018-12,default_flag,0.0412,stable
2018-12,next_3m_delinquency_flag,1.4512,MAJOR shift
2018-12,next_6m_delinquency_flag,0.9635,MAJOR shift
2018-12,next_12m_default_flag,1.0794,MAJOR shift
2018-12,next_12m_prepayment_flag,0.4034,MAJOR shift
2018-12,credit_score,11.9853,MAJOR shift
2018-12,ltv,12.7386,MAJOR shift
2018-12,dti,13.042,MAJOR shift
2018-12,original_term_months,1.0636,MAJOR shift
2019-01,month_index,15.6977,MAJOR shift
2019-01,loan_age_months,15.6977,MAJOR shift
2019-01,remaining_term_months,15.4721,MAJOR shift
2019-01,original_balance,12.0316,MAJOR shift
2019-01,current_balance,19.1029,MAJOR shift
2019-01,interest_rate,12.6887,MAJOR shift
2019-01,vintage_year,1.0809,MAJOR shift
2019-01,days_past_due,0.5026,MAJOR shift
2019-01,prepayment_flag,0.0542,stable
2019-01,default_flag,0.0597,stable
2019-01,next_3m_delinquency_flag,1.3574,MAJOR shift
2019-01,next_6m_delinquency_flag,0.9409,MAJOR shift
2019-01,next_12m_default_flag,0.9987,MAJOR shift
2019-01,next_12m_prepayment_flag,0.43,MAJOR shift
2019-01,credit_score,12.0376,MAJOR shift
2019-01,ltv,12.7503,MAJOR shift
2019-01,dti,13.0719,MAJOR shift
2019-01,original_term_months,1.0477,MAJOR shift
2019-02,month_index,15.8376,MAJOR shift
2019-02,loan_age_months,15.8376,MAJOR shift
2019-02,remaining_term_months,15.5307,MAJOR shift
2019-02,original_balance,11.9843,MAJOR shift
2019-02,current_balance,19.0355,MAJOR shift
2019-02,interest_rate,12.5573,MAJOR shift
2019-02,vintage_year,1.8861,MAJOR shift
2019-02,days_past_due,0.4845,MAJOR shift
2019-02,prepayment_flag,0.0768,stable
2019-02,default_flag,0.0455,stable
2019-02,next_3m_delinquency_flag,1.4303,MAJOR shift
2019-02,next_6m_delinquency_flag,1.0108,MAJOR shift
2019-02,next_12m_default_flag,1.0509,MAJOR shift
2019-02,next_12m_prepayment_flag,0.4566,MAJOR shift
2019-02,credit_score,12.0912,MAJOR shift
2019-02,ltv,12.7676,MAJOR shift
2019-02,dti,13.089,MAJOR shift
2019-02,original_term_months,1.0892,MAJOR shift
2019-03,month_index,15.9679,MAJOR shift
2019-03,loan_age_months,15.9679,MAJOR shift
2019-03,remaining_term_months,15.8878,MAJOR shift
2019-03,original_balance,11.9584,MAJOR shift
2019-03,current_balance,18.9933,MAJOR shift
2019-03,interest_rate,12.5661,MAJOR shift
2019-03,vintage_year,2.5913,MAJOR shift
2019-03,days_past_due,0.4951,MAJOR shift
2019-03,prepayment_flag,0.048,stable
2019-03,default_flag,0.0881,stable
2019-03,next_3m_delinquency_flag,1.3706,MAJOR shift
2019-03,next_6m_delinquency_flag,0.9842,MAJOR shift
2019-03,next_12m_default_flag,1.0379,MAJOR shift
2019-03,next_12m_prepayment_flag,0.4172,MAJOR shift
2019-03,credit_score,11.9901,MAJOR shift
2019-03,ltv,12.5458,MAJOR shift
2019-03,dti,13.1027,MAJOR shift
2019-03,original_term_months,1.1055,MAJOR shift
2019-04,month_index,14.0188,MAJOR shift
2019-04,loan_age_months,14.0188,MAJOR shift
2019-04,remaining_term_months,15.8074,MAJOR shift
2019-04,original_balance,11.9021,MAJOR shift
2019-04,current_balance,18.9253,MAJOR shift
2019-04,interest_rate,12.5864,MAJOR shift
2019-04,vintage_year,3.468,MAJOR shift
2019-04,days_past_due,0.4462,MAJOR shift
2019-04,prepayment_flag,0.0537,stable
2019-04,default_flag,0.0491,stable
2019-04,next_3m_delinquency_flag,1.3595,MAJOR shift
2019-04,next_6m_delinquency_flag,1.0233,MAJOR shift
2019-04,next_12m_default_flag,1.0428,MAJOR shift
2019-04,next_12m_prepayment_flag,0.4374,MAJOR shift
2019-04,credit_score,12.0548,MAJOR shift
2019-04,ltv,14.8656,MAJOR shift
2019-04,dti,13.1263,MAJOR shift
2019-04,original_term_months,1.088,MAJOR shift
2019-05,month_index,15.7227,MAJOR shift
2019-05,loan_age_months,15.7227,MAJOR shift
2019-05,remaining_term_months,15.4973,MAJOR shift
2019-05,original_balance,11.9794,MAJOR shift
2019-05,current_balance,18.8503,MAJOR shift
2019-05,interest_rate,12.6111,MAJOR shift
2019-05,vintage_year,4.2002,MAJOR shift
2019-05,days_past_due,0.5198,MAJOR shift
2019-05,prepayment_flag,0.0548,stable
2019-05,default_flag,0.0252,stable
2019-05,next_3m_delinquency_flag,1.4053,MAJOR shift
2019-05,next_6m_delinquency_flag,1.0123,MAJOR shift
2019-05,next_12m_default_flag,1.0703,MAJOR shift
2019-05,next_12m_prepayment_flag,0.4442,MAJOR shift
2019-05,credit_score,12.0822,MAJOR shift
2019-05,ltv,12.5915,MAJOR shift
2019-05,dti,13.1552,MAJOR shift
2019-05,original_term_months,1.0744,MAJOR shift
2019-06,month_index,15.8439,MAJOR shift
2019-06,loan_age_months,15.8439,MAJOR shift
2019-06,remaining_term_months,15.5479,MAJOR shift
2019-06,original_balance,11.9558,MAJOR shift
2019-06,current_balance,18.8216,MAJOR shift
2019-06,interest_rate,12.6318,MAJOR shift
2019-06,vintage_year,4.7939,MAJOR shift
2019-06,days_past_due,0.516,MAJOR shift
2019-06,prepayment_flag,0.0819,stable
2019-06,default_flag,0.0439,stable
2019-06,next_3m_delinquency_flag,1.4274,MAJOR shift
2019-06,next_6m_delinquency_flag,1.055,MAJOR shift
2019-06,next_12m_default_flag,1.1205,MAJOR shift
2019-06,next_12m_prepayment_flag,0.4406,MAJOR shift
2019-06,credit_score,12.0652,MAJOR shift
2019-06,ltv,12.842,MAJOR shift
2019-06,dti,13.1778,MAJOR shift
2019-06,original_term_months,1.1145,MAJOR shift
2019-07,month_index,13.9685,MAJOR shift
2019-07,loan_age_months,13.9685,MAJOR shift
2019-07,remaining_term_months,13.7464,MAJOR shift
2019-07,original_balance,12.0148,MAJOR shift
2019-07,current_balance,18.7836,MAJOR shift
2019-07,interest_rate,12.6486,MAJOR shift
2019-07,vintage_year,5.4103,MAJOR shift
2019-07,days_past_due,0.4776,MAJOR shift
2019-07,prepayment_flag,0.0853,stable
2019-07,default_flag,0.0649,stable
2019-07,next_3m_delinquency_flag,1.4337,MAJOR shift
2019-07,next_6m_delinquency_flag,1.0304,MAJOR shift
2019-07,next_12m_default_flag,1.1175,MAJOR shift
2019-07,next_12m_prepayment_flag,0.4698,MAJOR shift
2019-07,credit_score,11.9826,MAJOR shift
2019-07,ltv,12.7172,MAJOR shift
2019-07,dti,15.2123,MAJOR shift
2019-07,original_term_months,1.1063,MAJOR shift
2019-08,month_index,13.9627,MAJOR shift
2019-08,loan_age_months,13.9627,MAJOR shift
2019-08,remaining_term_months,13.6689,MAJOR shift
2019-08,original_balance,12.0977,MAJOR shift
2019-08,current_balance,18.7353,MAJOR shift
2019-08,interest_rate,12.6758,MAJOR shift
2019-08,vintage_year,5.9032,MAJOR shift
2019-08,days_past_due,0.5177,MAJOR shift
2019-08,prepayment_flag,0.0509,stable
2019-08,default_flag,0.0819,stable
2019-08,next_3m_delinquency_flag,1.3678,MAJOR shift
2019-08,next_6m_delinquency_flag,1.0202,MAJOR shift
2019-08,next_12m_default_flag,1.1394,MAJOR shift
2019-08,next_12m_prepayment_flag,0.4501,MAJOR shift
2019-08,credit_score,12.0285,MAJOR shift
2019-08,ltv,12.7287,MAJOR shift
2019-08,dti,15.212,MAJOR shift
2019-08,original_term_months,1.1112,MAJOR shift
2019-09,month_index,15.9808,MAJOR shift
2019-09,loan_age_months,15.9808,MAJOR shift
2019-09,remaining_term_months,15.7035,MAJOR shift
2019-09,original_balance,12.1364,MAJOR shift
2019-09,current_balance,18.7027,MAJOR shift
2019-09,interest_rate,12.7022,MAJOR shift
2019-09,vintage_year,6.3496,MAJOR shift
2019-09,days_past_due,0.5051,MAJOR shift
2019-09,prepayment_flag,0.0821,stable
2019-09,default_flag,0.0596,stable
2019-09,next_3m_delinquency_flag,1.3384,MAJOR shift
2019-09,next_6m_delinquency_flag,1.0514,MAJOR shift
2019-09,next_12m_default_flag,1.137,MAJOR shift
2019-09,next_12m_prepayment_flag,0.4671,MAJOR shift
2019-09,credit_score,12.056,MAJOR shift
2019-09,ltv,12.74,MAJOR shift
2019-09,dti,14.9851,MAJOR shift
2019-09,original_term_months,1.1402,MAJOR shift
2019-10,month_index,13.5633,MAJOR shift
2019-10,loan_age_months,13.5633,MAJOR shift
2019-10,remaining_term_months,13.6417,MAJOR shift
2019-10,original_balance,12.1717,MAJOR shift
