loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type,servicer_name,vintage_year,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type,vintage_quarter,credit_score,ltv,dti,original_term_months
GNP25K9V7QFL,37,2020-04-01,2020-11-01,37,323,1000000.0,938491.25,3.307,700-739,80-90%,30-36%,CA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,2020,Current,0,False,0,0,,2023-12-21,LegacySFTP,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q4,724,83.27,31.89,360
GNP25K9V7QFL,44,2020-04-01,2020-11-01,44,316,1000000.0,927634.2,3.307,700-739,80-90%,30-36%,CA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,2020,Current,0,False,0,0,,2024-07-09,LegacySFTP,Complete,0.0,0.0,,,Current,True,Time Travel,2020Q4,724,83.27,31.89,360
N2PHOV9DWCGD,3,2020-02-01,2020-04-01,3,357,318000.0,316514.82,3.579,660-699,80-90%,36-43%,VA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,2020,Current,0,False,0,0,,2020-07-19,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q2,678,87.84,38.92,360
N2PHOV9DWCGD,29,2020-02-01,2020-04-01,29,331,318000.0,303071.93,3.579,660-699,80-90%,36-43%,VA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,2020,Current,0,False,0,0,,2022-09-08,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q2,678,87.84,38.92,360
O80RU4KTKAMM,15,2020-09-01,2020-10-01,15,225,426000.0,409496.08,3.352,660-699,80-90%,30-36%,TN,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,2020,Current,0,False,0,0,,2022-01-15,LegacySFTP,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q4,687,85.56,34.69,240
O80RU4KTKAMM,45,2020-09-01,2020-10-01,45,195,426000.0,369046.5,3.352,660-699,80-90%,30-36%,TN,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,2020,Current,0,False,0,0,,2024-07-13,LegacySFTP,Complete,0.0,0.0,,,Current,True,Time Travel,2020Q4,687,85.56,34.69,240
S3O9WSQUKTQC,1,2020-11-01,2021-03-01,1,359,304000.0,303512.56,3.393,700-739,75-80%,30-36%,NY,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,2021,Current,0,False,0,0,,2021-04-16,VendorAPI,Complete,1.0,0.0,0.0,0.0,30-DPD,True,Time Travel,2021Q1,730,78.59,33.99,360
S3O9WSQUKTQC,2,2020-11-01,2021-03-01,2,358,304000.0,303023.74,3.393,700-739,75-80%,30-36%,NY,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,2021,30-DPD,35,False,0,0,,2021-05-03,VendorAPI,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2021Q1,730,78.59,33.99,360
VWNOZVK8L313,1,2020-11-01,2021-06-01,1,359,352000.0,351497.43,4.051,620-659,75-80%,30-36%,CA,Home Purchase,Condominium,Primary Residence,Beacon Home Loans,2021,30-DPD,48,False,0,0,,2021-07-17,LegacySFTP,Complete,1.0,1.0,0.0,0.0,60-DPD,True,Time Travel,2021Q2,637,79.71,30.95,360
VWNOZVK8L313,19,2020-11-01,2021-06-01,19,341,352000.0,343751.97,4.051,620-659,75-80%,30-36%,CA,Home Purchase,Condominium,Primary Residence,Beacon Home Loans,2021,Current,0,True,0,0,,2023-01-22,LegacySFTP,Complete,0.0,0.0,1.0,0.0,Current,True,Time Travel,2021Q2,637,79.71,30.95,360
WN87ZYL0FBIA,39,2020-02-01,2020-09-01,39,321,327000.0,307583.05,3.528,660-699,60-75%,36-43%,NC,Rate/Term Refinance,Condominium,Primary Residence,Cornerstone Loan Servicing,2020,Current,0,False,0,0,,2023-12-17,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q3,685,72.46,38.26,360
WN87ZYL0FBIA,44,2020-02-01,2020-09-01,44,316,327000.0,304720.28,3.528,660-699,60-75%,36-43%,NC,Rate/Term Refinance,Condominium,Primary Residence,Cornerstone Loan Servicing,2020,Current,0,False,0,0,,2024-05-18,CoreServicing,Complete,0.0,0.0,0.0,0.0,Current,True,Time Travel,2020Q3,685,72.46,38.26,360
