loan_id,origination_month,vintage_year,vintage_quarter,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,original_balance,original_term_months,state,loan_purpose,property_type,occupancy_type,servicer_name,source_system,document_status,interest_rate
LTO1KJ149A2A,2021-05-01,2021,2021Q2,805,800+,61.71,60-75%,24.5,<30%,351000.0,360,FL,Cash-Out Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,2.95
33YW57H4RM69,2023-07-01,2023,2023Q3,659,620-659,83.97,80-90%,47.05,>43%,396000.0,360,AZ,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,8.003
2NET46C37RG4,2020-11-01,2020,2020Q4,694,660-699,67.97,60-75%,29.87,<30%,314000.0,360,PA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.071
QS6A5URRPI8I,2021-06-01,2021,2021Q2,732,700-739,78.6,75-80%,38.08,36-43%,387000.0,360,MI,Cash-Out Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,3.244
TZPLQPIWKNSK,2020-05-01,2020,2020Q2,667,660-699,79.95,75-80%,39.33,36-43%,396000.0,360,IN,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.956
JW9BL7G6MN7D,2020-01-01,2020,2020Q1,711,700-739,81.65,80-90%,37.49,36-43%,269000.0,360,MD,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.451
HDDSQJZ9S2RY,2022-02-01,2022,2022Q1,734,700-739,72.49,60-75%,35.62,30-36%,603000.0,360,IL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,5.359
QC80H9RF7DP8,2019-06-01,2019,2019Q2,731,700-739,59.13,<60%,30.22,30-36%,308000.0,360,IL,Home Purchase,Condominium,Investment Property,Meridian Residential Capital,CoreServicing,Complete,4.316
WUDIZTT7RWDV,2023-04-01,2023,2023Q2,676,660-699,71.36,60-75%,35.15,30-36%,468000.0,360,PA,Home Purchase,Single-Family Detached,Investment Property,Meridian Residential Capital,CoreServicing,Complete,7.443
HDXEM5UK20QT,2018-09-01,2018,2018Q3,774,740-799,60.52,60-75%,36.67,36-43%,215000.0,360,WA,Cash-Out Refinance,Single-Family Detached,Investment Property,Cornerstone Loan Servicing,CoreServicing,Complete,4.954
MAF1XTBY1B5X,2019-05-01,2019,2019Q2,616,<620,79.47,75-80%,42.74,36-43%,416000.0,360,KY,Cash-Out Refinance,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.369
Z7CJBCXQ5HR3,2022-07-01,2022,2022Q3,729,700-739,78.61,75-80%,40.03,36-43%,474000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.565
8TSWNWO1YN3F,2018-06-01,2018,2018Q2,683,660-699,72.38,60-75%,42.75,36-43%,361000.0,180,FL,Home Purchase,Condominium,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.96
J8X9NP9S7TJB,2020-06-01,2020,2020Q2,690,660-699,64.44,60-75%,27.62,<30%,476000.0,360,VA,Home Purchase,Condominium,Investment Property,Northgate Financial Servicing,CoreServicing,Complete,3.872
OSKKU17ARZ0S,2020-04-01,2020,2020Q2,654,620-659,83.4,80-90%,40.63,36-43%,259000.0,360,IL,Rate/Term Refinance,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.145
VMBEFPTY4SKS,2023-08-01,2023,2023Q3,734,700-739,68.03,60-75%,34.24,30-36%,388000.0,180,CA,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,CoreServicing,Pending,7.243
G9QD9TB37F2I,2018-12-01,2018,2018Q4,731,700-739,69.37,60-75%,36.66,36-43%,197000.0,180,CA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.965
83CJWEHFWVP2,2020-09-01,2020,2020Q3,667,660-699,74.66,60-75%,35.32,30-36%,347000.0,360,MI,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.32
JEDNUW2VBXH5,2020-10-01,2020,2020Q4,640,620-659,84.53,80-90%,37.34,36-43%,252000.0,360,NY,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.722
KAPU3CFG0C34,2022-11-01,2022,2022Q4,701,700-739,79.13,75-80%,39.44,36-43%,322000.0,360,NJ,Rate/Term Refinance,Condominium,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,5.877
IWHXK9PV5PD7,2021-03-01,2021,2021Q1,733,700-739,71.07,60-75%,30.55,30-36%,527000.0,240,MA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.175
W2T6PXLHYXU4,2018-10-01,2018,2018Q4,696,660-699,60.27,60-75%,24.74,<30%,596000.0,180,NY,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,5.284
UBCSXLT5AMD5,2023-03-01,2023,2023Q1,634,620-659,71.99,60-75%,42.55,36-43%,213000.0,360,NC,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,7.908
1DQMDC5OQGLD,2018-11-01,2018,2018Q4,655,620-659,75.62,75-80%,47.66,>43%,504000.0,360,PA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.928
JOFNULI3ALY2,2022-03-01,2022,2022Q1,682,660-699,83.02,80-90%,31.32,30-36%,531000.0,360,AL,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,5.949
6HLGE4IN8A3Q,2019-08-01,2019,2019Q3,690,660-699,67.4,60-75%,33.49,30-36%,369000.0,360,OR,Rate/Term Refinance,Condominium,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Missing,4.722
RB4EG3QI39C0,2018-09-01,2018,2018Q3,742,740-799,55.8,<60%,34.52,30-36%,524000.0,360,WA,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,4.68
CKUSQ3UFIXCN,2019-02-01,2019,2019Q1,712,700-739,68.58,60-75%,24.56,<30%,287000.0,360,NY,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,4.309
ID2YFPHABDIX,2023-08-01,2023,2023Q3,704,700-739,69.9,60-75%,36.87,36-43%,277000.0,360,KY,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,7.101
J4O3HOUZ6UXS,2023-11-01,2023,2023Q4,701,700-739,88.82,80-90%,35.58,30-36%,278000.0,240,NY,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,7.191
S0N1WDFUIZ24,2021-08-01,2021,2021Q3,649,620-659,81.07,80-90%,41.26,36-43%,421000.0,180,GA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Pending,3.95
I02CSCTGH1GI,2022-11-01,2022,2022Q4,768,740-799,76.26,75-80%,34.34,30-36%,319000.0,360,LA,Cash-Out Refinance,PUD,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.278
BP3FKENLCVQ6,2023-06-01,2023,2023Q2,773,740-799,57.79,<60%,25.32,<30%,259000.0,360,MI,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,LegacySFTP,Complete,6.886
5NZ7WR73C1IM,2020-02-01,2020,2020Q1,654,620-659,75.61,75-80%,29.28,<30%,263000.0,360,PA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.092
U8JG22M5H6MO,2022-07-01,2022,2022Q3,732,700-739,70.11,60-75%,23.35,<30%,330000.0,360,CA,Cash-Out Refinance,PUD,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.764
B0IQRZZW8MVN,2021-02-01,2021,2021Q1,649,620-659,82.22,80-90%,45.56,>43%,247000.0,360,IN,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,3.803
LJJOGD6COKXN,2019-01-01,2019,2019Q1,799,740-799,91.43,90-97%,34.27,30-36%,414000.0,240,CA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.81
HE0LGO2DP66M,2021-03-01,2021,2021Q1,650,620-659,60.4,60-75%,39.5,36-43%,495000.0,360,CA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.129
WWF6YH2R2C6I,2018-04-01,2018,2018Q2,659,620-659,74.87,60-75%,34.2,30-36%,460000.0,240,TX,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.583
OZXTOEJRYWFF,2021-08-01,2021,2021Q3,693,660-699,84.94,80-90%,38.47,36-43%,888000.0,360,NJ,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.887
AQS4KA09BPJT,2019-07-01,2019,2019Q3,692,660-699,66.43,60-75%,24.01,<30%,379000.0,360,MN,Home Purchase,Condominium,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.314
EXD9QL7J1I89,2018-08-01,2018,2018Q3,676,660-699,76.62,75-80%,49.49,>43%,587000.0,180,CA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Pending,5.084
TYLY9VSAHZSW,2022-03-01,2022,2022Q1,706,700-739,83.02,80-90%,32.84,30-36%,351000.0,360,WA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,5.941
AMYXFSZF3XKH,2020-02-01,2020,2020Q1,641,620-659,71.66,60-75%,34.26,30-36%,300000.0,180,GA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,3.84
990IB16HULKS,2020-09-01,2020,2020Q3,805,800+,58.08,<60%,33.55,30-36%,344000.0,240,NJ,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,3.193
DM8FGBVAQG96,2018-07-01,2018,2018Q3,655,620-659,87.09,80-90%,42.62,36-43%,349000.0,360,WA,Rate/Term Refinance,Single-Family Detached,Investment Property,Beacon Home Loans,CoreServicing,Complete,5.609
IPMI5WH4B02K,2018-06-01,2018,2018Q2,692,660-699,75.26,75-80%,31.89,30-36%,316000.0,360,VA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.312
30ZT94282FDL,2023-07-01,2023,2023Q3,722,700-739,68.88,60-75%,25.46,<30%,228000.0,360,MD,Home Purchase,PUD,Investment Property,Meridian Residential Capital,VendorAPI,Complete,7.32
2J1VGJKQ3E2U,2021-08-01,2021,2021Q3,636,620-659,82.14,80-90%,50.87,>43%,237000.0,180,CA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.848
PDBWSUJS9CFP,2020-06-01,2020,2020Q2,708,700-739,73.16,60-75%,37.28,36-43%,485000.0,360,TX,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.687
4G1VP3E939K3,2021-12-01,2021,2021Q4,765,740-799,71.03,60-75%,28.64,<30%,438000.0,360,WI,Rate/Term Refinance,Condominium,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,3.124
KNDCRXP4Q1MZ,2022-05-01,2022,2022Q2,755,740-799,73.78,60-75%,43.09,>43%,604000.0,360,CA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.518
8J4XG34MWK6L,2018-09-01,2018,2018Q3,709,700-739,63.21,60-75%,24.75,<30%,289000.0,360,CT,Cash-Out Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.954
PVDP68NDVV73,2023-07-01,2023,2023Q3,782,740-799,82.8,80-90%,30.32,30-36%,280000.0,360,IL,Home Purchase,Condominium,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,7.093
8TIW6KMK0D0A,2021-12-01,2021,2021Q4,681,660-699,89.36,80-90%,30.83,30-36%,223000.0,360,NY,Rate/Term Refinance,Condominium,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,3.38
WUNEY4T55ZZH,2019-11-01,2019,2019Q4,655,620-659,84.57,80-90%,36.93,36-43%,473000.0,360,IL,Home Purchase,Single-Family Detached,Investment Property,Atlas Mortgage Services,CoreServicing,Pending,5.054
VJ7OKSTD72E7,2019-08-01,2019,2019Q3,700,660-699,73.5,60-75%,38.19,36-43%,244000.0,240,FL,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,4.63
RKCZBFPW1KVD,2018-07-01,2018,2018Q3,770,740-799,69.43,60-75%,35.54,30-36%,327000.0,360,MD,Home Purchase,Single-Family Detached,Second Home,Atlas Mortgage Services,CoreServicing,Complete,4.547
XGR2PXTHTXMD,2019-07-01,2019,2019Q3,597,<620,83.61,80-90%,37.3,36-43%,367000.0,360,NJ,Home Purchase,Condominium,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.629
GLU8XE699HIH,2020-01-01,2020,2020Q1,639,620-659,72.58,60-75%,37.19,36-43%,194000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,4.178
XN9J2FLX868O,2019-04-01,2019,2019Q2,746,740-799,59.02,<60%,31.77,30-36%,430000.0,360,IN,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.83
5CVC0CE3MZCW,2022-01-01,2022,2022Q1,676,660-699,74.18,60-75%,44.33,>43%,465000.0,360,AZ,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,6.051
NHNF70SEND2S,2019-07-01,2019,2019Q3,727,700-739,84.32,80-90%,34.11,30-36%,363000.0,360,MI,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.161
C60R5LJVY2Q4,2020-12-01,2020,2020Q4,665,660-699,76.05,75-80%,39.92,36-43%,320000.0,360,IL,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.98
07087KDYRC76,2021-05-01,2021,2021Q2,709,700-739,64.49,60-75%,35.03,30-36%,326000.0,360,WI,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.314
LW64IGJ5QR03,2018-06-01,2018,2018Q2,711,700-739,95.13,90-97%,49.86,>43%,531000.0,240,TX,Cash-Out Refinance,PUD,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,4.679
0FAP644GYXYR,2019-01-01,2019,2019Q1,657,620-659,76.19,75-80%,28.51,<30%,336000.0,360,SC,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.15
EHFX8RUG6457,2018-06-01,2018,2018Q2,670,660-699,80.35,80-90%,46.57,>43%,328000.0,180,MI,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,4.971
F4ZEAJS6RS1P,2022-02-01,2022,2022Q1,663,660-699,72.38,60-75%,23.11,<30%,261000.0,360,KY,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Pending,6.066
ISKGLKGJAPPZ,2022-03-01,2022,2022Q1,692,660-699,66.21,60-75%,31.91,30-36%,127000.0,360,LA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,LegacySFTP,Complete,5.837
I1N90HK3Q9H3,2018-10-01,2018,2018Q4,656,620-659,78.0,75-80%,26.72,<30%,479000.0,360,CA,Rate/Term Refinance,PUD,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,5.661
0PWITQI09A74,2022-06-01,2022,2022Q2,627,620-659,97.77,90-97%,33.99,30-36%,330000.0,180,NY,Home Purchase,PUD,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,6.068
59TPOGHUTWEJ,2022-11-01,2022,2022Q4,645,620-659,95.04,90-97%,54.83,>43%,245000.0,360,VA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,6.09
GDPM2BAG12DM,2018-08-01,2018,2018Q3,641,620-659,76.89,75-80%,42.16,36-43%,676000.0,240,CA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.81
QD4J31VMQ7WO,2018-09-01,2018,2018Q3,786,740-799,58.4,<60%,27.27,<30%,383000.0,180,GA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,4.843
970AOHB1ED07,2022-10-01,2022,2022Q4,739,700-739,75.31,75-80%,30.94,30-36%,308000.0,240,NY,Home Purchase,PUD,Primary Residence,Beacon Home Loans,CoreServicing,Complete,5.782
TMQB2F27YCAX,2019-11-01,2019,2019Q4,693,660-699,63.3,60-75%,33.58,30-36%,467000.0,360,UT,Home Purchase,Condominium,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,4.762
6T526DLIFX8M,2020-01-01,2020,2020Q1,687,660-699,78.17,75-80%,33.21,30-36%,374000.0,360,TX,Rate/Term Refinance,PUD,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.634
DJWOMBVV52NH,2021-07-01,2021,2021Q3,723,700-739,81.78,80-90%,36.24,36-43%,372000.0,360,CA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.158
5895IUQ0JP8C,2018-05-01,2018,2018Q2,717,700-739,73.82,60-75%,34.75,30-36%,268000.0,360,IL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,4.738
QE1ZPYO4TOZQ,2020-08-01,2020,2020Q3,664,660-699,80.94,80-90%,38.11,36-43%,418000.0,360,FL,Cash-Out Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Missing,3.638
JUA2U4Q8V4R4,2020-01-01,2020,2020Q1,803,800+,79.52,75-80%,32.57,30-36%,454000.0,360,MO,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.313
09AFGN157145,2022-12-01,2022,2022Q4,662,660-699,68.46,60-75%,45.89,>43%,269000.0,360,CA,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.906
SIBL1S90L2OK,2022-05-01,2022,2022Q2,713,700-739,78.01,75-80%,23.36,<30%,173000.0,240,VA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.514
DI0W8NZUT9UJ,2019-09-01,2019,2019Q3,746,740-799,74.81,60-75%,25.34,<30%,456000.0,360,PA,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Pending,4.161
RCZ7V4CBOP8K,2021-12-01,2021,2021Q4,676,660-699,79.36,75-80%,38.22,36-43%,409000.0,360,LA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,3.492
SWB5L90P02H5,2020-06-01,2020,2020Q2,685,660-699,75.31,75-80%,35.14,30-36%,439000.0,360,AL,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.732
LBIRAE503OXN,2020-11-01,2020,2020Q4,708,700-739,87.16,80-90%,19.34,<30%,335000.0,180,MO,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Complete,3.593
HW3493NFB0LQ,2022-05-01,2022,2022Q2,688,660-699,77.55,75-80%,39.01,36-43%,458000.0,240,PA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.953
9ML06INH6SJ5,2019-09-01,2019,2019Q3,681,660-699,60.97,60-75%,38.06,36-43%,264000.0,180,PA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,4.613
3LG2376HXHGG,2021-06-01,2021,2021Q2,786,740-799,53.56,<60%,34.54,30-36%,310000.0,240,CA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.244
BSB49M0KTGHZ,2020-07-01,2020,2020Q3,684,660-699,75.85,75-80%,29.71,<30%,231000.0,180,AL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.855
I62B6NG3UHNI,2021-11-01,2021,2021Q4,683,660-699,87.79,80-90%,42.3,36-43%,489000.0,180,OK,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.473
8PR0WT9E9HWE,2020-04-01,2020,2020Q2,786,740-799,77.62,75-80%,33.89,30-36%,325000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Complete,3.081
12RJ3Z3DDHRP,2023-08-01,2023,2023Q3,786,740-799,71.02,60-75%,35.93,30-36%,357000.0,360,IL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,6.799
435EZRSGL3I4,2020-05-01,2020,2020Q2,685,660-699,76.84,75-80%,32.18,30-36%,382000.0,360,NC,Home Purchase,Condominium,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,3.756
7RXL0JHX749G,2018-08-01,2018,2018Q3,749,740-799,60.01,60-75%,36.9,36-43%,304000.0,180,GA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.635
QNT0YU2E9OO9,2020-12-01,2020,2020Q4,690,660-699,86.07,80-90%,42.85,36-43%,436000.0,360,OH,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.805
ZX0ORYMZ1J3V,2019-06-01,2019,2019Q2,790,740-799,73.27,60-75%,19.67,<30%,580000.0,180,MI,Home Purchase,Single-Family Detached,Second Home,Atlas Mortgage Services,CoreServicing,Complete,3.832
KBHHDLBTUX42,2020-09-01,2020,2020Q3,697,660-699,64.8,60-75%,31.56,30-36%,460000.0,360,IN,Home Purchase,Single-Family Detached,Second Home,Cornerstone Loan Servicing,CoreServicing,Complete,3.59
C2GX6Z6YV9HY,2023-07-01,2023,2023Q3,775,740-799,73.82,60-75%,26.28,<30%,184000.0,360,PA,Home Purchase,Single-Family Detached,Investment Property,Meridian Residential Capital,CoreServicing,Complete,7.14
WVGKC48GBNJI,2018-08-01,2018,2018Q3,649,620-659,79.74,75-80%,31.07,30-36%,343000.0,360,CA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,5.556
R2ULRZ1GQJAY,2018-04-01,2018,2018Q2,666,660-699,80.68,80-90%,46.51,>43%,348000.0,180,FL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,5.137
LNRN6MOJKB79,2019-09-01,2019,2019Q3,730,700-739,51.86,<60%,33.95,30-36%,503000.0,240,CA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,4.036
1YBIS3O1EHWK,2020-08-01,2020,2020Q3,704,700-739,78.27,75-80%,47.13,>43%,274000.0,360,MI,Home Purchase,Single-Family Detached,Investment Property,Meridian Residential Capital,LegacySFTP,Complete,3.576
GKN8BJZGCLZC,2018-10-01,2018,2018Q4,597,<620,78.9,75-80%,46.71,>43%,232000.0,360,OH,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,6.3
2AEJNJ0CU7KM,2022-03-01,2022,2022Q1,621,620-659,94.23,90-97%,45.3,>43%,438000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,6.457
ZJZ74RM7GSD6,2021-08-01,2021,2021Q3,742,740-799,66.06,60-75%,38.15,36-43%,328000.0,180,NY,Cash-Out Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,2.89
4DJ37LV1D048,2022-03-01,2022,2022Q1,753,740-799,72.21,60-75%,34.0,30-36%,267000.0,360,AL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.628
6DX4Z6ZZSIP0,2020-07-01,2020,2020Q3,713,700-739,66.04,60-75%,33.22,30-36%,302000.0,360,CO,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.073
W97PR0H27V5W,2023-08-01,2023,2023Q3,692,660-699,79.0,75-80%,43.76,>43%,204000.0,240,MI,Rate/Term Refinance,PUD,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,7.461
02E6VDTFGYQQ,2022-01-01,2022,2022Q1,647,620-659,78.54,75-80%,49.47,>43%,350000.0,360,CA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,6.349
ICCAVA1P98RJ,2023-07-01,2023,2023Q3,663,660-699,70.95,60-75%,39.3,36-43%,298000.0,360,IN,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,7.717
