model,segment,kind,metric,groups_compared,worst_group,worst_value,worst_group_records,worst_group_events,best_group,best_value,ratio_best_to_worst,below_floor,p_value,enough_events_to_test,significant,interpretable,escalate,overall_selection_rate
default,ltv_band,risk factor (gap expected),false_positive_rate,5,90-97%,0.24368144969003339,2870,511,<60%,0.01011288805268109,0.04150044275239187,True,3.313376798007135e-211,True,True,True,False,0.09665650371689904
default,ltv_band,risk factor (gap expected),selection_rate,5,90-97%,0.32613240418118467,2870,936,<60%,0.013989274889251575,0.04289446467110258,True,3.88754870161206e-306,True,True,True,False,0.09665650371689904
default,vintage_year,risk factor (gap expected),false_positive_rate,6,2021,0.08073196986006459,14160,1050,2018,0.007352941176470588,0.091078431372549,True,0.0016985925205196888,True,True,True,False,0.09665650371689904
default,vintage_year,risk factor (gap expected),selection_rate,6,2018,0.33620689655172414,232,78,2023,0.07139991977537104,0.21236899215238564,True,2.467622128344894e-50,True,True,True,False,0.09665650371689904
default,vintage_year,risk factor (gap expected),false_negative_rate,6,2023,0.6383616383616384,9972,639,2018,0.19791666666666666,0.3100384715701617,True,3.962665675288597e-17,True,True,True,False,0.09665650371689904
default,credit_score_band,risk factor (gap expected),false_negative_rate,5,700-739,0.7402912621359223,18569,305,<620,0.2709677419354839,0.3660285563194077,True,2.1288915583200924e-54,True,True,True,False,0.09665650371689904
default,ltv_band,risk factor (gap expected),false_negative_rate,5,75-80%,0.5846477392218717,11315,556,80-90%,0.42008906481939634,0.7185336342504423,True,5.205050660364416e-17,True,True,True,False,0.09665650371689904
prepayment,state,screen for disparity,false_negative_rate,30,OR,0.7272727272727273,963,40,CT,0.0,0.0,True,6.431951005531396e-14,True,True,False,False,0.7141756020691309
prepayment,credit_score_band,risk factor (gap expected),false_negative_rate,6,620-659,0.53276955602537,6847,252,740-799,0.10669781931464174,0.20027011323740293,True,3.74808523822457e-81,True,True,False,False,0.7141756020691309
prepayment,ltv_band,risk factor (gap expected),false_negative_rate,5,90-97%,0.4689655172413793,2870,68,<60%,0.14182692307692307,0.302425056561086,True,5.2389355891168145e-16,True,True,False,False,0.7141756020691309
prepayment,credit_score_band,risk factor (gap expected),false_positive_rate,6,740-799,0.8686052773290253,12426,9678,<620,0.2653644592663173,0.3055063861485129,True,0.0,True,True,False,False,0.7141756020691309
prepayment,credit_score_band,risk factor (gap expected),selection_rate,6,740-799,0.8711572509254788,12426,10825,<620,0.2738646895273401,0.31436883437106034,True,0.0,True,True,False,False,0.7141756020691309
prepayment,state,screen for disparity,selection_rate,30,CO,0.9106425702811245,996,907,OR,0.29075804776739356,0.31928888156154794,True,2.3006307316805592e-173,True,True,False,False,0.7141756020691309
prepayment,state,screen for disparity,false_positive_rate,30,CO,0.9124579124579124,996,813,OR,0.2918502202643172,0.31985061040037716,True,7.223697311855433e-159,True,True,False,False,0.7141756020691309
prepayment,vintage_year,risk factor (gap expected),false_positive_rate,6,2019,0.7742489270386266,5459,3608,2018,0.3333333333333333,0.4305247597930525,True,1.6922645248027874e-30,True,True,False,False,0.7141756020691309
prepayment,ltv_band,risk factor (gap expected),false_positive_rate,5,<60%,0.7980893364317067,4289,3091,90-97%,0.4315596330275229,0.5407410089665469,True,1.506460839834071e-206,True,True,False,False,0.7141756020691309
prepayment,ltv_band,risk factor (gap expected),selection_rate,5,<60%,0.8039169969689904,4289,3448,90-97%,0.43658536585365854,0.5430726897176165,True,8.725305507331252e-226,True,True,False,False,0.7141756020691309
prepayment,vintage_year,risk factor (gap expected),false_negative_rate,6,2018,0.3867924528301887,232,41,2021,0.22969647251845776,0.5938494167550371,True,0.0002936566877372198,True,True,False,False,0.7141756020691309
prepayment,vintage_year,risk factor (gap expected),selection_rate,6,2019,0.7728521707272394,5459,4219,2018,0.46120689655172414,0.5967595279155871,True,1.3158018682392657e-27,True,True,False,False,0.7141756020691309
prepayment,servicer_name,screen for disparity,false_negative_rate,5,Cornerstone Loan Servicing,0.2864583333333333,12162,275,Meridian Residential Capital,0.22201834862385322,0.7750458715596331,True,0.0008009397586988706,True,True,False,False,0.7141756020691309
prepayment,servicer_name,screen for disparity,false_positive_rate,5,Beacon Home Loans,0.7252017085904129,11561,7640,Atlas Mortgage Services,0.6921747042766151,0.9544581818788141,False,9.869961831395207e-08,True,True,False,False,0.7141756020691309
prepayment,servicer_name,screen for disparity,selection_rate,5,Meridian Residential Capital,0.7299692847740237,11395,8318,Atlas Mortgage Services,0.6986633249791144,0.9571133190835548,False,1.2046236973699516e-07,True,True,False,False,0.7141756020691309
