scenario,horizon_month,vintage_year,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
High-Prepayment,36,2020,0.18597165140308466,0.12787481760486255,0.07731751039855313,1650,-1.232728201963615,-2.731919778438674,0.2500396031317173
High-Prepayment,36,2021,0.162191910680926,0.11046642964172969,0.07918608962933327,1658,-1.1417560435127956,-2.667228539623766,0.23877565139252266
High-Prepayment,36,2022,0.1670531438533305,0.11061211801682302,0.07690713881646537,1698,-1.2054834497139204,-2.177142175126301,0.4097805692212575
High-Prepayment,36,2023,0.15436235632406467,0.09239095221299588,0.07673425353107542,1602,-1.4031527244547286,-2.5854770607525364,0.2228604665623815
High-Prepayment,48,2018,0.1720338888370119,0.10974750460882553,0.07539768197226722,1717,-1.67262655801462,-3.0197250072421618,0.6013492546164068
High-Prepayment,48,2019,0.1825924127660486,0.11298718026521042,0.07726270574558111,1675,-1.7847955870479937,-3.8122441556510385,0.5780323809852411
High-Prepayment,48,2020,0.17918830933141086,0.11683196262877722,0.07770237854888948,1650,-1.6983598039305214,-3.7396954244946476,0.34657040982573745
High-Prepayment,48,2021,0.1559610021211167,0.09816012009097394,0.07986626795591723,1658,-1.650919250095234,-3.8247097957652048,0.3085049349710073
High-Prepayment,48,2022,0.1611284137895079,0.0991831250310456,0.07816362505531306,1698,-1.6718956972271826,-3.244801784674661,0.5913034741930029
High-Prepayment,48,2023,0.14582440293555615,0.08306528042252799,0.07774607222345344,1602,-2.1819122048304997,-3.344696469589742,0.29282862149357936
