scenario,horizon_month,measure,feature,baseline_contribution,stressed_contribution,delta_contribution,share_of_movement
Adverse-Credit,36,default_12m,credit_score_band,-0.01153747044236389,0.5050090155695555,0.5165464860119193,0.15096701682262442
Adverse-Credit,36,default_12m,ltv,-0.13469676133146394,0.2173504012687912,0.35204716260025515,0.10289008125670132
Adverse-Credit,36,default_12m,ltv_band,-0.05998631370070999,0.09917076293638451,0.1591570766370945,0.046515598724947156
Adverse-Credit,36,default_12m,balance_ratio,-0.06823820682255335,-0.14722807148212874,-0.07898986465957539,0.02308575229878493
Adverse-Credit,36,prepayment_12m,credit_score,-0.036362748267131574,-0.54604416240144,-0.5096814141343085,0.6387868620559949
Adverse-Credit,36,prepayment_12m,ltv,-0.012328833175160857,-0.1174234016846315,-0.10509456850947065,0.13171567134995235
Adverse-Credit,36,prepayment_12m,balance_ratio,0.0029996759079688605,0.029141054888291495,0.026141378980322635,0.03276315161897677
Adverse-Credit,36,prepayment_12m,balance_gap_abs,-0.10032324039493577,-0.07524551181935507,0.0250777285755807,0.03143007200193065
Adverse-Credit,36,prepayment_12m,dq_score,0.010933347544422743,0.02937321912228768,0.018439871577864936,0.02311080485825974
Adverse-Credit,48,delinquency_3m,credit_score,-0.019156781217657848,0.6743529872993751,0.6935097685170329,0.44961603200381833
Adverse-Credit,48,delinquency_3m,ltv,-0.08847137649006977,0.20322252266078106,0.2916938991508508,0.18911089569274955
Adverse-Credit,48,delinquency_3m,credit_score_band,-0.013684964566571456,0.2063009374194438,0.21998590198601525,0.14262118983447863
Adverse-Credit,48,delinquency_3m,rate_spread,0.008747343487397028,-0.027143927074782477,-0.03589127056217951,0.023269017087170656
Adverse-Credit,48,delinquency_3m,paydown_3m,-0.1397428880470603,-0.1132112295199372,0.02653165852712311,0.017200996396855194
Adverse-Credit,48,default_12m,credit_score,-0.019427386698489316,1.9472385473433278,1.966665934041817,0.5636062517111637
Adverse-Credit,48,default_12m,credit_score_band,-0.011901466313365725,0.5061323303484697,0.5180337966618355,0.14845789584418162
Adverse-Credit,48,default_12m,ltv,-0.16989283353060222,0.225126464847448,0.3950192983780502,0.11320445544855448
Adverse-Credit,48,default_12m,ltv_band,-0.08039600742921081,0.10190901824553182,0.18230502567474263,0.05224489345655409
Adverse-Credit,48,default_12m,balance_ratio,-0.06504359146228275,-0.1503693917573581,-0.08532580029507536,0.024452630030423965
Adverse-Credit,48,prepayment_12m,credit_score,-0.0366680619186317,-0.5326494728069412,-0.4959814108883095,0.5814271845425816
Adverse-Credit,48,prepayment_12m,ltv,-0.021769311514114903,-0.187393952027824,-0.1656246405137091,0.1941578178349282
Adverse-Credit,48,prepayment_12m,balance_gap_abs,-0.1004720670683048,-0.0724662954594366,0.028005771608868205,0.03283049844211532
Adverse-Credit,48,prepayment_12m,balance_ratio,0.0030961231440936854,0.030226017324999504,0.02712989418090582,0.03180372821289952
Adverse-Credit,48,prepayment_12m,dpd_mean_12m,-0.03565096117322962,-0.016865009665698455,0.018785951507531165,0.022022323123793434
High-Prepayment,1,delinquency_3m,credit_score,-0.022039262544136334,-0.022039262544136334,0.0,
High-Prepayment,1,delinquency_3m,doc_status_changes_to_date,0.0,0.0,0.0,
High-Prepayment,1,delinquency_3m,dpd_delta_3m,-0.0043794459740613394,-0.0043794459740613394,0.0,
High-Prepayment,1,delinquency_3m,dpd_delta_6m,-0.0005150444050490211,-0.0005150444050490211,0.0,
High-Prepayment,1,delinquency_3m,paydown_1m,-0.045653277880135776,-0.045653277880135776,0.0,
High-Prepayment,1,default_12m,credit_score,-0.036064339704887274,-0.036064339704887274,0.0,
High-Prepayment,1,default_12m,doc_status_changes_to_date,0.0,0.0,0.0,
High-Prepayment,1,default_12m,dpd_delta_3m,0.020109748786043352,0.020109748786043352,0.0,
High-Prepayment,1,default_12m,dpd_delta_6m,-0.0004503723612876403,-0.0004503723612876403,0.0,
High-Prepayment,1,default_12m,paydown_1m,-0.045107453248190356,-0.045107453248190356,0.0,
High-Prepayment,1,prepayment_12m,credit_score,-0.03573563862829991,-0.03573563862829991,0.0,
High-Prepayment,1,prepayment_12m,doc_status_changes_to_date,0.0,0.0,0.0,
High-Prepayment,1,prepayment_12m,dpd_delta_3m,-0.0003286488358210685,-0.0003286488358210685,0.0,
High-Prepayment,1,prepayment_12m,dpd_delta_6m,0.0,0.0,0.0,
High-Prepayment,1,prepayment_12m,paydown_1m,-0.008100089031266296,-0.008100089031266296,0.0,
High-Prepayment,12,delinquency_3m,credit_score,-0.021631864483982743,-0.06099985235472869,-0.03936798787074595,0.34696284437128316
High-Prepayment,12,delinquency_3m,credit_score_band,-0.01312620785549521,-0.03272236392997327,-0.01959615607447806,0.17270727863124782
High-Prepayment,12,delinquency_3m,ltv,-0.014100438092599874,-0.0332340392505704,-0.019133601157970526,0.16863063214282942
High-Prepayment,12,delinquency_3m,rate_spread,-0.007632981247695487,0.0025336562504815413,0.010166637498177028,0.08960187337083757
High-Prepayment,12,delinquency_3m,dpd_mean_6m,-0.10716188110454755,-0.1019343239367775,0.0052275571677700555,0.046072156646613495
High-Prepayment,12,default_12m,credit_score,-0.03217893751784478,-0.16510832077763088,-0.1329293832597861,0.4602916461155796
High-Prepayment,12,default_12m,credit_score_band,-0.010906429708208223,-0.055091805465968424,-0.0441853757577602,0.15299972694545394
High-Prepayment,12,default_12m,ltv,-0.047495372912405937,-0.08101593896932627,-0.03352056605692033,0.11607092540941283
High-Prepayment,12,default_12m,ltv_band,-0.007685678245565187,-0.030257352738340296,-0.02257167449277511,0.07815843986547368
High-Prepayment,12,default_12m,days_past_due,0.48595097335702997,0.5008343095590652,0.014883336202035191,0.05153620029017955
High-Prepayment,12,prepayment_12m,credit_score,-0.03564693948791792,-0.0019330074884792178,0.0337139319994387,0.5477052147287492
High-Prepayment,12,prepayment_12m,rate_spread,-0.029128368970375414,-0.022725498694572282,0.006402870275803132,0.10401887977194312
High-Prepayment,12,prepayment_12m,ltv,0.005777036420255112,0.0011333368881533907,-0.0046436995321017215,0.0754399827764946
High-Prepayment,12,prepayment_12m,interest_rate,-0.02834996059430784,-0.030924647344407002,-0.002574686750099163,0.041827496102970284
High-Prepayment,12,prepayment_12m,dpd_max_6m,-0.018937345676536772,-0.016727702285907656,0.0022096433906291166,0.035897124303348266
High-Prepayment,24,delinquency_3m,credit_score,-0.020884807094374788,-0.10319087072203346,-0.08230606362765867,0.3709879318232362
High-Prepayment,24,delinquency_3m,credit_score_band,-0.013174661004613671,-0.05317625478639231,-0.040001593781778644,0.1803039520134251
High-Prepayment,24,delinquency_3m,ltv,-0.04032074442445685,-0.07892164097858104,-0.03860089655412419,0.17399042243012666
High-Prepayment,24,delinquency_3m,rate_spread,-0.0015856449802732456,0.012846378343696318,0.014432023323969563,0.0650511790869433
High-Prepayment,24,delinquency_3m,dpd_mean_6m,-0.10709103995797967,-0.09670179318528527,0.0103892467726944,0.046828690421150294
High-Prepayment,24,default_12m,credit_score,-0.028379852065265908,-0.2933345165089829,-0.264954664443717,0.4846934429155432
High-Prepayment,24,default_12m,credit_score_band,-0.011944989690648666,-0.09580641236174461,-0.08386142267109595,0.15341145915505686
High-Prepayment,24,default_12m,ltv,-0.0944438265649434,-0.15202214361432345,-0.057578317049380046,0.1053305960343833
High-Prepayment,24,default_12m,ltv_band,-0.037134905248936464,-0.07346456020492152,-0.03632965495598506,0.06645946610345735
High-Prepayment,24,default_12m,days_past_due,0.4879982478488042,0.5151045694466317,0.027106321597827554,0.049586809002254345
High-Prepayment,24,prepayment_12m,credit_score,-0.035813432734420544,0.03127803053391702,0.06709146326833756,0.5186442311880319
High-Prepayment,24,prepayment_12m,ltv,-0.0022366424552155706,-0.017474849047643907,-0.015238206592428336,0.11779751935361576
High-Prepayment,24,prepayment_12m,rate_spread,-0.02374977637371839,-0.009075994338157417,0.014673782035560972,0.11343428853259013
High-Prepayment,24,prepayment_12m,interest_rate,-0.02561289900789921,-0.03055113246111514,-0.00493823345321593,0.038174548116897244
High-Prepayment,24,prepayment_12m,dpd_max_6m,-0.01893630583403756,-0.01445406058234229,0.004482245251695268,0.03464957431713655
High-Prepayment,36,delinquency_3m,credit_score,-0.019927987839084064,-0.15060720616329196,-0.1306792183242079,0.3900370865179208
High-Prepayment,36,delinquency_3m,credit_score_band,-0.013335295472223998,-0.07520058427432727,-0.06186528880210327,0.18464877055736223
High-Prepayment,36,delinquency_3m,ltv,-0.0654436712060407,-0.12149879756430064,-0.056055126358259946,0.16730723101608466
High-Prepayment,36,delinquency_3m,rate_spread,0.0038507489577877863,0.025923813308229772,0.022073064350441984,0.06588127645827925
High-Prepayment,36,delinquency_3m,dpd_mean_6m,-0.1070333363282586,-0.09138888095294156,0.01564445537531703,0.046693865122530494
High-Prepayment,36,default_12m,credit_score,-0.023015024664461207,-0.42868762777368574,-0.40567260310922454,0.5035860628086227
High-Prepayment,36,default_12m,credit_score_band,-0.01153747044236389,-0.1380748257872416,-0.1265373553448777,0.15707851131170858
High-Prepayment,36,default_12m,ltv,-0.13469676133146394,-0.20270874484298856,-0.06801198351152463,0.08442740953633515
High-Prepayment,36,default_12m,ltv_band,-0.05998631370070999,-0.10799254030902763,-0.048006226608317645,0.059593047355658374
High-Prepayment,36,default_12m,days_past_due,0.49017234054767717,0.5288905769130455,0.038718236365368364,0.04806330045630367
High-Prepayment,36,prepayment_12m,credit_score,-0.036362748267131574,0.06436774880356347,0.10073049707069504,0.513572890026389
High-Prepayment,36,prepayment_12m,rate_spread,-0.01911504064820343,0.0034283409442685,0.02254338159247193,0.11493708432003495
High-Prepayment,36,prepayment_12m,ltv,-0.012328833175160857,-0.03223016889400531,-0.019901335718844455,0.10146665406941417
High-Prepayment,36,prepayment_12m,interest_rate,-0.022780064961069737,-0.03131983886467123,-0.008539773903601496,0.04353990590125355
High-Prepayment,36,prepayment_12m,dpd_max_6m,-0.018850665155054683,-0.012186520335477184,0.0066641448195775,0.03397703986452878
High-Prepayment,48,delinquency_3m,credit_score,-0.019156781217657848,-0.20414499938088354,-0.1849882181632257,0.3861294455013333
High-Prepayment,48,delinquency_3m,credit_score_band,-0.013684964566571456,-0.09836817183831019,-0.08468320727173874,0.17676087802661594
High-Prepayment,48,delinquency_3m,ltv,-0.08847137649006977,-0.164732953959337,-0.07626157746926722,0.1591822490840065
High-Prepayment,48,delinquency_3m,rate_spread,0.008747343487397028,0.048899092614152144,0.040151749126755114,0.08380951381748393
High-Prepayment,48,delinquency_3m,dpd_mean_6m,-0.10688590786967372,-0.0858897407130306,0.020996167156643125,0.04382570123841312
High-Prepayment,48,default_12m,credit_score,-0.019427386698489316,-0.5712814414542638,-0.5518540547557745,0.5243436340584167
High-Prepayment,48,default_12m,credit_score_band,-0.011901466313365725,-0.17929929683602291,-0.1673978305226572,0.15905289819532048
High-Prepayment,48,default_12m,ltv,-0.16989283353060222,-0.2371487413531838,-0.06725590782258159,0.06390314036053808
High-Prepayment,48,default_12m,days_past_due,0.4916863194122411,0.541197166330189,0.04951084691794788,0.047042686693234095
High-Prepayment,48,default_12m,ltv_band,-0.08039600742921081,-0.12836402042154535,-0.04796801299233454,0.045576764425683244
High-Prepayment,48,prepayment_12m,credit_score,-0.0366680619186317,0.09884145846316081,0.1355095203817925,0.5119674207615288
High-Prepayment,48,prepayment_12m,rate_spread,-0.014665921372153645,0.015521318042101254,0.0301872394142549,0.1140501645883134
High-Prepayment,48,prepayment_12m,ltv,-0.021769311514114903,-0.046101281188728714,-0.02433196967461381,0.09192841743710838
High-Prepayment,48,prepayment_12m,interest_rate,-0.019971149860819777,-0.034356488805608605,-0.014385338944788828,0.05434913248599668
High-Prepayment,48,prepayment_12m,dpd_mean_12m,-0.03565096117322962,-0.026631999528551,0.009018961644678618,0.0340744658985132
