scenario,horizon_month,credit_score_band,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,48,660-699,0.27433382951405777,0.30676876265700265,0.05567207140744393,2899,0.0,0.0,0.0
Adverse-Credit,48,700-739,0.18481067697084594,0.250102122701601,0.061943689465202845,2838,0.0,0.0,0.0
Adverse-Credit,48,740-799,0.145542041282017,0.22360327260152324,0.06425251255640238,1946,0.0,0.0,0.0
Adverse-Credit,48,800+,0.12487821534463088,0.20062053210617303,0.0640146933687551,247,0.0,0.0,0.0
Adverse-Credit,48,<620,0.48643993367234406,0.4406851338425797,0.03977527495053116,539,0.0,0.0,0.0
Baseline,1,620-659,0.39953576792086304,0.37318369261742707,0.04965841520484592,1531,0.0,0.0,0.0
Baseline,1,660-699,0.21504535347723097,0.17713132941252596,0.07465200632857576,2899,0.0,0.0,0.0
Baseline,1,700-739,0.09856394711552387,0.04205509878748072,0.081108812634408,2838,0.0,0.0,0.0
Baseline,1,740-799,0.04914074352680589,0.014242727488304508,0.08933235068192552,1946,0.0,0.0,0.0
Baseline,1,800+,0.02789384910841923,0.0056951467358956065,0.08384373483516376,247,0.0,0.0,0.0
Baseline,1,<620,0.4751980354431734,0.4418700437535102,0.04176485792994265,539,0.0,0.0,0.0
Baseline,12,620-659,0.39678641725171776,0.3707162001121333,0.0495619478707177,1531,-1.5093846380514253,-2.5160622511382567,0.19487039217401733
Baseline,12,660-699,0.2130948451166342,0.17543855832306215,0.07461985663550344,2899,-5.089067360946039,-12.97600176216861,1.3941906996733768
Baseline,12,700-739,0.09763248431654278,0.040231062514948526,0.08144016118327228,2838,-6.872584949526897,-19.060117264998272,1.2450435054231725
Baseline,12,740-799,0.04859640281498927,0.013342281203607814,0.08918902757498634,1946,-4.483126338171055,-8.641840026287978,1.1582364676425247
Baseline,12,800+,0.027563540268139966,0.005295269729982106,0.08421524658159832,247,-2.038037216038587,-0.9289085450788286,0.26520489431112043
Baseline,12,<620,0.47288060889182004,0.44104845333819953,0.041057958783256174,539,-0.875187675821254,-0.2661494927167607,-0.045570392537356424
Baseline,24,620-659,0.39331218421886505,0.36796972009491746,0.04942961481818036,1531,-2.311787497195905,-2.9198120852848564,0.23650997809707974
Baseline,24,660-699,0.21151400135318874,0.1736685818990718,0.07456174613348227,2899,-5.730704943586465,-13.399702882418529,1.5913302590363942
Baseline,24,700-739,0.09693983047602328,0.03854670833721678,0.08139466593498311,2838,-8.085223727479548,-21.117740149873725,1.6008362913493654
Baseline,24,740-799,0.04809253383465327,0.012419281248467381,0.08894038218695093,1946,-9.063241556015326,-21.053104688887515,2.2375543954817125
Baseline,24,800+,0.027175986270432995,0.004987370923866884,0.08416248797499334,247,-9.141525331143137,-19.376304747259073,1.9627218746713235
Baseline,24,<620,0.469382625694961,0.43831881813648615,0.0407204849469595,539,-1.596234400239277,-0.5586067194616962,0.03448167681750283
Baseline,36,620-659,0.39008301822073044,0.3660387522393816,0.048744696486765625,1531,-2.81977604830147,-2.963072392626187,0.27402676082145944
Baseline,36,660-699,0.21013109490862253,0.17234706819261808,0.07491298818140982,2899,-6.244162373978473,-13.489979654276318,1.7864527982341671
Baseline,36,700-739,0.09626795590742297,0.03694221704306043,0.08118476921645312,2838,-8.568672045504867,-21.317944942510554,1.7334541405446018
Baseline,36,740-799,0.04735934164520342,0.011841872835447385,0.08898415708521924,1946,-9.486182800292925,-21.222278500694024,2.3114319302305675
Baseline,36,800+,0.026345992726705614,0.004856692106029612,0.08443643347190624,247,-9.411293820619589,-19.542275738704557,2.0771147974635014
Baseline,36,<620,0.46447766121105183,0.4378307281986508,0.0400026615238294,539,-2.1999584535744185,-0.4439191932112785,0.03552643933302513
Baseline,48,620-659,0.38711344376523144,0.3641602999515131,0.048141768597795155,1531,-3.174374016237186,-3.015524444006934,0.23548410735439798
Baseline,48,660-699,0.2090280363305305,0.1708886170117341,0.07481809397553778,2899,-6.530579318352728,-13.588014564526855,1.9146022568093848
Baseline,48,700-739,0.09573871860963962,0.03557082222352293,0.08121514634487585,2838,-8.907195836120632,-21.453130047807807,1.9271456879673008
Baseline,48,740-799,0.04688795203488178,0.011252858800396273,0.08901608522237084,1946,-9.865408924713522,-21.235041380112698,2.476357266596846
Baseline,48,800+,0.025476866696594557,0.004867737419434291,0.08465020744549524,247,-9.940134864803632,-19.575279468673873,2.063551407674015
Baseline,48,<620,0.46156488145410995,0.4364664732333969,0.03885483691369151,539,-2.487505221823411,-0.42186606091828005,-0.0920438036839652
High-Prepayment,1,620-659,0.39953576792086304,0.37318369261742707,0.04965841520484592,1531,0.0,0.0,0.0
High-Prepayment,1,660-699,0.21504535347723097,0.17713132941252596,0.07465200632857576,2899,0.0,0.0,0.0
High-Prepayment,1,700-739,0.09856394711552387,0.04205509878748072,0.081108812634408,2838,0.0,0.0,0.0
High-Prepayment,1,740-799,0.04914074352680589,0.014242727488304508,0.08933235068192552,1946,0.0,0.0,0.0
High-Prepayment,1,800+,0.02789384910841923,0.0056951467358956065,0.08384373483516376,247,0.0,0.0,0.0
High-Prepayment,1,<620,0.4751980354431734,0.4418700437535102,0.04176485792994265,539,0.0,0.0,0.0
High-Prepayment,12,620-659,0.3896071390676607,0.35622544666182443,0.052988942444460334,1531,-2.227312456457131,-3.9651375961691437,0.5375698495482806
High-Prepayment,12,660-699,0.209048765633673,0.1609421749597099,0.07495474799742553,2899,-5.49367530924216,-14.425640098503836,1.4276798358655862
High-Prepayment,12,700-739,0.09442407939957441,0.034283941798175864,0.08321434494745433,2838,-7.193425441223734,-19.654829336675537,1.4224618818413775
High-Prepayment,12,740-799,0.04761757385161062,0.011836256352752542,0.08948769047899457,1946,-4.58100923450892,-8.792442511373505,1.188102758043348
High-Prepayment,12,800+,0.026633493531598464,0.005100236100894103,0.08288024503490224,247,-2.1310418896927374,-0.9484119079876289,0.13170473964151247
High-Prepayment,12,<620,0.4701787811992246,0.43748002332878405,0.04086374726397093,539,-1.1453704450807956,-0.6229924936583087,-0.06499154446588107
High-Prepayment,24,620-659,0.3789334817652903,0.33924179289354556,0.05703381294795086,1531,-3.7496577425533806,-5.792604805422047,0.9969297910741297
High-Prepayment,24,660-699,0.20250127042271873,0.1384267696124976,0.07571046856699747,2899,-6.631978036633465,-16.92388411107595,1.7062025023879144
High-Prepayment,24,700-739,0.09045565591761523,0.030352537266409314,0.08460762269244428,2838,-8.733641183320353,-21.937157256954475,1.922131967095482
High-Prepayment,24,740-799,0.045649484244608976,0.01025962423390966,0.0891275679225075,1946,-9.307546515019755,-21.269070390343288,2.2562729690373704
High-Prepayment,24,800+,0.025268278042321398,0.0050803214630380025,0.08267648815512109,247,-9.332296153954296,-19.367009693341963,1.8141218926840978
High-Prepayment,24,<620,0.4620279762745963,0.43550146137921913,0.03820895934451744,539,-2.331699342275745,-0.8403423951883982,-0.21667088342670268
High-Prepayment,36,620-659,0.37097229537132287,0.3269077135421831,0.06036911449980788,1531,-4.730848333242227,-6.876176262346034,1.4364685621256847
High-Prepayment,36,660-699,0.1954800408148036,0.11391322227403033,0.07645140921695374,2899,-7.7092677833603656,-19.333364246135094,1.9402949017885598
High-Prepayment,36,700-739,0.08553577143720095,0.027216944146824663,0.08648847094382328,2838,-9.64189049252707,-22.29047223213413,2.2638243132816176
High-Prepayment,36,740-799,0.04319522847595312,0.009757896237507635,0.08908617016518572,1946,-9.902594117217955,-21.430676160487998,2.321633238227215
High-Prepayment,36,800+,0.024701197155873888,0.005491675972598125,0.08290788865462942,247,-9.575773377702761,-19.478777352047707,1.9242603157358193
High-Prepayment,36,<620,0.45690104919377456,0.4304612026705404,0.03697064696798323,539,-2.957619655302146,-1.1808717460223217,-0.2676750162515916
High-Prepayment,48,620-659,0.3620931059886795,0.3150651062560748,0.06364903952225885,1531,-5.67640779389238,-7.925043813550764,1.7862111998007677
High-Prepayment,48,660-699,0.1870966242276354,0.08982644861974724,0.07663020296862093,2899,-8.723720528642238,-21.69423140372554,2.0958131561177
High-Prepayment,48,700-739,0.08106393956562039,0.024133860523635847,0.08828010340200787,2838,-10.374673740522555,-22.596826217796515,2.6336413936805023
High-Prepayment,48,740-799,0.041431990643935455,0.01027889596889239,0.08869217504727119,1946,-10.411005063808155,-21.332437663263086,2.4439662490868805
High-Prepayment,48,800+,0.024454609082193927,0.006003597014011158,0.08304581366283662,247,-10.042360626243696,-19.46169350921619,1.903112029408152
High-Prepayment,48,<620,0.4514564314442813,0.42480203508768993,0.03485131600534434,539,-3.4983502228062733,-1.5883098754889746,-0.4923958945186817
