scenario,horizon_month,servicer_name,delinquency_3m,default_12m,prepayment_12m,loans,delinquency_3m_vs_baseline_pp,default_12m_vs_baseline_pp,prepayment_12m_vs_baseline_pp
Adverse-Credit,24,Meridian Residential Capital,0.24308832545366169,0.2847769148307454,0.05926695850032329,2033,6.246346532271938,14.486767005708643,-1.5239981115897916
Adverse-Credit,24,Northgate Financial Servicing,0.24336097518908975,0.27958220514809196,0.05975471702018172,1935,6.478942257920342,14.222787386451788,-1.393064101443809
Adverse-Credit,36,Atlas Mortgage Services,0.24725367552996072,0.2967556928380632,0.056870275948997503,2019,6.899611695416613,15.68319021644344,-1.654677637553545
Adverse-Credit,36,Beacon Home Loans,0.25497153033620673,0.30446235791568144,0.059019598896567535,1964,7.013267158837177,15.982366652559701,-1.4299482175671758
Adverse-Credit,36,Cornerstone Loan Servicing,0.26228533604212756,0.2978289350809863,0.05899820058170573,2049,6.7776175390774736,14.479734120865324,-1.5003868601785382
Adverse-Credit,36,Meridian Residential Capital,0.24652618336079796,0.28454008840139317,0.05794051311536301,2033,6.712489382523162,14.553269850198106,-1.654995835528708
Adverse-Credit,36,Northgate Financial Servicing,0.2465689415033357,0.28132865682855906,0.058338622545312926,1935,6.960760755325043,14.573389736910503,-1.5297857705987226
Adverse-Credit,48,Atlas Mortgage Services,0.24938290791530712,0.29597379941742,0.055519556136674426,2019,7.208565332227584,15.715345318988962,-1.769066325741344
Adverse-Credit,48,Beacon Home Loans,0.2574671839966578,0.30411143227017645,0.057583268464864446,1964,7.373451903422004,16.079801358334542,-1.5746239380524163
Adverse-Credit,48,Cornerstone Loan Servicing,0.2645912005413136,0.2965668984277251,0.0577832415309207,2049,7.142132091245765,14.5033710742774,-1.6041556834842035
Adverse-Credit,48,Meridian Residential Capital,0.2484015986789835,0.28409569867874357,0.05671438622279611,2033,7.013881863448898,14.608206529942663,-1.7448090701478105
Adverse-Credit,48,Northgate Financial Servicing,0.24857892346151494,0.28162584413051905,0.05720386121679152,1935,7.305322383407442,14.755747963792068,-1.6335174369675056
Baseline,1,Atlas Mortgage Services,0.18302335796530717,0.14481276763145615,0.07356702938635322,2019,0.0,0.0,0.0
Baseline,1,Beacon Home Loans,0.18967289478670513,0.14941740953737553,0.07371376749104135,1964,0.0,0.0,0.0
Baseline,1,Cornerstone Loan Servicing,0.1989219070254229,0.15733760565116509,0.07403209115226286,2049,0.0,0.0,0.0
Baseline,1,Meridian Residential Capital,0.18378774697591788,0.14323935609569677,0.07468534518172892,2033,0.0,0.0,0.0
Baseline,1,Northgate Financial Servicing,0.18098523456218518,0.1406037184191774,0.0738287816166759,1935,0.0,0.0,0.0
Baseline,12,Atlas Mortgage Services,0.18141999030652417,0.14303249895743494,0.07362874722419596,2019,0.0,0.0,0.0
Baseline,12,Beacon Home Loans,0.18813372332652267,0.14812123046136189,0.07369024993398643,1964,0.0,0.0,0.0
Baseline,12,Cornerstone Loan Servicing,0.19757302851447386,0.15584468176945934,0.07414778376477435,2049,0.0,0.0,0.0
Baseline,12,Meridian Residential Capital,0.18224254660133585,0.14119133457999633,0.07448827337910591,2033,0.0,0.0,0.0
Baseline,12,Northgate Financial Servicing,0.17957342020873698,0.13916037074653356,0.07394066001836037,1935,0.0,0.0,0.0
Baseline,24,Atlas Mortgage Services,0.18003108716582075,0.14113204878638635,0.07337902593451319,2019,0.0,0.0,0.0
Baseline,24,Beacon Home Loans,0.18645417743315917,0.14622617645938907,0.07357106787576732,1964,0.0,0.0,0.0
Baseline,24,Cornerstone Loan Servicing,0.19586529679877712,0.15399029811152218,0.07415527437606935,2049,0.0,0.0,0.0
Baseline,24,Meridian Residential Capital,0.1806248601309423,0.139909244773659,0.07450693961622121,2033,0.0,0.0,0.0
Baseline,24,Northgate Financial Servicing,0.17857155260988633,0.13735433128357408,0.07368535803461981,1935,0.0,0.0,0.0
Baseline,36,Atlas Mortgage Services,0.1782575585757946,0.13992379067362878,0.07341705232453295,2019,0.0,0.0,0.0
Baseline,36,Beacon Home Loans,0.18483885874783496,0.14463869139008442,0.07331908107223929,1964,0.0,0.0,0.0
Baseline,36,Cornerstone Loan Servicing,0.19450916065135282,0.15303159387233306,0.07400206918349111,2049,0.0,0.0,0.0
Baseline,36,Meridian Residential Capital,0.17940128953556633,0.1390073898994121,0.07449047147065009,2033,0.0,0.0,0.0
Baseline,36,Northgate Financial Servicing,0.17696133395008526,0.13559475945945404,0.07363648025130015,1935,0.0,0.0,0.0
Baseline,48,Atlas Mortgage Services,0.17729725459303128,0.1388203462275304,0.07321021939408787,2019,0.0,0.0,0.0
Baseline,48,Beacon Home Loans,0.18373266496243776,0.14331341868683103,0.07332950784538861,1964,0.0,0.0,0.0
Baseline,48,Cornerstone Loan Servicing,0.19316987962885593,0.1515331876849511,0.07382479836576274,2049,0.0,0.0,0.0
Baseline,48,Meridian Residential Capital,0.17826278004449453,0.13801363337931694,0.07416247692427422,2033,0.0,0.0,0.0
Baseline,48,Northgate Financial Servicing,0.17552569962744052,0.13406836449259837,0.07353903558646657,1935,0.0,0.0,0.0
High-Prepayment,1,Atlas Mortgage Services,0.18302335796530717,0.14481276763145615,0.07356702938635322,2019,0.0,0.0,0.0
High-Prepayment,1,Beacon Home Loans,0.18967289478670513,0.14941740953737553,0.07371376749104135,1964,0.0,0.0,0.0
High-Prepayment,1,Cornerstone Loan Servicing,0.1989219070254229,0.15733760565116509,0.07403209115226286,2049,0.0,0.0,0.0
High-Prepayment,1,Meridian Residential Capital,0.18378774697591788,0.14323935609569677,0.07468534518172892,2033,0.0,0.0,0.0
High-Prepayment,1,Northgate Financial Servicing,0.18098523456218518,0.1406037184191774,0.0738287816166759,1935,0.0,0.0,0.0
High-Prepayment,12,Atlas Mortgage Services,0.17784943043200743,0.13386189937532145,0.07474096238102476,2019,-0.3570559874516738,-0.9170599582113498,0.11122151568287997
High-Prepayment,12,Beacon Home Loans,0.18440706077395572,0.1397925782132635,0.07462084593672708,1964,-0.3726662552566956,-0.8328652248098395,0.09305960027406468
High-Prepayment,12,Cornerstone Loan Servicing,0.19392861514546098,0.1471785868265866,0.07535690200912949,2049,-0.3644413369012889,-0.8666094942872737,0.12091182443551424
High-Prepayment,12,Meridian Residential Capital,0.17856250236853016,0.1324517581850523,0.07582287990959619,2033,-0.3680044232805685,-0.8739576394944021,0.13346065304902788
High-Prepayment,12,Northgate Financial Servicing,0.17650351749559515,0.13110183430323327,0.07504427427336902,1935,-0.30699027131418366,-0.805853644330029,0.1103614255008642
High-Prepayment,24,Atlas Mortgage Services,0.17219115259824985,0.12337448232543609,0.07601054943051562,2019,-0.78399345675709,-1.7757566460950267,0.26315234960024303
High-Prepayment,24,Beacon Home Loans,0.17860102279646192,0.12816875064544975,0.07582512591329645,1964,-0.7853154636697252,-1.805742581393932,0.2254058037529122
High-Prepayment,24,Cornerstone Loan Servicing,0.18878018653663353,0.13602600232421197,0.07630133080511357,2049,-0.708511026214359,-1.7964295787310207,0.2146056429044224
High-Prepayment,24,Meridian Residential Capital,0.1736371846471839,0.12293837179537787,0.0770745171510848,2033,-0.6987675483758421,-1.6970872978281122,0.25675775348635993
High-Prepayment,24,Northgate Financial Servicing,0.17042810893611282,0.1205719648204878,0.07543051744529526,1935,-0.8143443673773509,-1.6782366463086271,0.1745159410675448
High-Prepayment,36,Atlas Mortgage Services,0.1665100912745842,0.11351817854650505,0.07734372242711003,2019,-1.1747467301210401,-2.640561212712374,0.3926670102577079
High-Prepayment,36,Beacon Home Loans,0.17307696347870247,0.11787106731655526,0.07646426778518434,1964,-1.176189526913249,-2.676762407352916,0.31451867129450445
High-Prepayment,36,Cornerstone Loan Servicing,0.1832784729198446,0.12554102932136188,0.07741952188333485,2049,-1.1230687731508233,-2.749056455097118,0.341745269984374
High-Prepayment,36,Meridian Residential Capital,0.16824461743821476,0.11301818198897054,0.07824309487606662,2033,-1.1156672097351579,-2.598920791044157,0.37526234054165303
High-Prepayment,36,Northgate Financial Servicing,0.1654514671221334,0.10989365106918436,0.07712947533859396,1935,-1.1509866827951853,-2.5701108390269676,0.349299508729381
High-Prepayment,48,Atlas Mortgage Services,0.16122965317057886,0.10380911153440978,0.07795335189778373,2019,-1.6067601422452422,-3.501123469312062,0.474313250369586
High-Prepayment,48,Beacon Home Loans,0.16760049486314255,0.10904682099515672,0.07747511892223789,1964,-1.6132170099295213,-3.426659769167431,0.41456110768492843
High-Prepayment,48,Cornerstone Loan Servicing,0.17655693242442522,0.1152437109967124,0.07865183590462292,2049,-1.6612947204430712,-3.62894766882387,0.4827037538860185
High-Prepayment,48,Meridian Residential Capital,0.16244800591291714,0.1022245410532015,0.0789134078954361,2033,-1.5814774131577392,-3.5789092326115437,0.47509309711618875
High-Prepayment,48,Northgate Financial Servicing,0.16026205992530407,0.10025940925430647,0.07797994741509308,1935,-1.5263639702136456,-3.38089552382919,0.44409118286265065
